Frekvenca [Hz] - Palica 1	Amplituda frekv. prenosne funkcije [dB] - Palica 1	Frekvenca [Hz] - Palica 2	Amplituda frekv. prenosne funkcije [dB] - Palica 2	Frekvenca [Hz] - Palica 3	Amplituda frekv. prenosne funkcije [dB] - Palica 3	
17,9	-49,3067	17,9	-27,9412	17,9	-22,1456	
18	-49,2276	18	-28,1227	18	-22,2398	
18,1	-47,9826	18,1	-28,4168	18,1	-22,4201	
18,2	-46,3632	18,2	-28,5897	18,2	-22,5443	
18,3	-45,4487	18,3	-28,7279	18,3	-22,6278	
18,4	-44,4673	18,4	-28,9768	18,4	-22,7946	
18,5	-42,9542	18,5	-29,38	18,5	-23,1276	
18,6	-42,3357	18,6	-29,5766	18,6	-23,2832	
18,7	-41,8015	18,7	-29,7091	18,7	-23,3757	
18,8	-40,9451	18,8	-29,9553	18,8	-23,516	
18,9	-40,4402	18,9	-30,2082	18,9	-23,654	
19	-39,5308	19	-30,5002	19	-23,7905	
19,1	-39,0886	19,1	-30,6208	19,1	-23,8461	
19,2	-38,6282	19,2	-30,7764	19,2	-23,909	
19,3	-38,3522	19,3	-30,8678	19,3	-23,9456	
19,4	-37,8145	19,4	-31,0345	19,4	-23,9858	
19,5	-37,5192	19,5	-31,2109	19,5	-24,0652	
19,6	-36,8719	19,6	-31,4505	19,6	-24,1386	
19,7	-36,5699	19,7	-31,5243	19,7	-24,1443	
19,8	-36,1197	19,8	-31,6789	19,8	-24,18	
19,9	-35,7541	19,9	-31,8526	19,9	-24,2056	
20	-35,2409	20	-32,0978	20	-24,2672	
20,1	-34,9957	20,1	-32,1418	20,1	-24,2806	
20,2	-34,7011	20,2	-32,2171	20,2	-24,2943	
20,3	-34,2787	20,3	-32,5265	20,3	-24,368	
20,4	-33,8107	20,4	-32,8265	20,4	-24,3899	
20,5	-33,5261	20,5	-32,9883	20,5	-24,4083	
20,6	-33,3341	20,6	-33,0586	20,6	-24,4235	
20,7	-33,1148	20,7	-33,2026	20,7	-24,4268	
20,8	-32,748	20,8	-33,4707	20,8	-24,4614	
20,9	-32,465	20,9	-33,6385	20,9	-24,4767	
21	-32,236	21	-33,7924	21	-24,4891	
21,1	-31,8783	21,1	-33,9744	21,1	-24,4824	
21,2	-31,7326	21,2	-34,0548	21,2	-24,49	
21,3	-31,5299	21,3	-34,2749	21,3	-24,496	
21,4	-31,2204	21,4	-34,4157	21,4	-24,4931	
21,5	-30,9303	21,5	-34,7186	21,5	-24,4984	
21,6	-30,6052	21,6	-34,9691	21,6	-24,5071	
21,7	-30,4177	21,7	-35,1141	21,7	-24,5002	
21,8	-30,2673	21,8	-35,2075	21,8	-24,4851	
21,9	-30,0186	21,9	-35,4002	21,9	-24,4879	
22	-29,7289	22	-35,8068	22	-24,4874	
22,1	-29,5477	22,1	-35,8954	22,1	-24,4484	
22,2	-29,3526	22,2	-36,0543	22,2	-24,4401	
22,3	-29,137	22,3	-36,2477	22,3	-24,4322	
22,4	-28,9247	22,4	-36,4439	22,4	-24,3776	
22,5	-28,6866	22,5	-36,6176	22,5	-24,3358	
22,6	-28,4518	22,6	-36,9006	22,6	-24,3359	
22,7	-28,2868	22,7	-37,0548	22,7	-24,3374	
22,8	-28,0129	22,8	-37,4419	22,8	-24,3046	
22,9	-27,8056	22,9	-37,7021	22,9	-24,2712	
23	-27,6909	23	-37,9258	23	-24,2608	
23,1	-27,415	23,1	-38,3553	23,1	-24,2377	
23,2	-27,2027	23,2	-38,6542	23,2	-24,1704	
23,3	-27,0245	23,3	-38,9111	23,3	-24,1381	
23,4	-26,8899	23,4	-39,1033	23,4	-24,1076	
23,5	-26,6859	23,5	-39,4937	23,5	-24,0897	
23,6	-26,5105	23,6	-39,757	23,6	-24,0381	
23,7	-26,321	23,7	-40,1391	23,7	-23,9867	
23,8	-26,1068	23,8	-40,5802	23,8	-23,9297	
23,9	-25,9279	23,9	-41,0806	23,9	-23,9206	
24	-25,7914	24	-41,4923	24	-23,8916	
24,1	-25,5936	24,1	-42,0169	24,1	-23,7998	
24,2	-25,3729	24,2	-42,7624	24,2	-23,7648	
24,3	-25,1978	24,3	-43,1279	24,3	-23,7171	
24,4	-25,0853	24,4	-43,5917	24,4	-23,6688	
24,5	-24,9162	24,5	-44,5551	24,5	-23,6265	
24,6	-24,8172	24,6	-45,3141	24,6	-23,5991	
24,7	-24,7251	24,7	-46,0129	24,7	-23,5414	
24,8	-24,659	24,8	-47,0043	24,8	-23,4938	
24,9	-24,5376	24,9	-48,2971	24,9	-23,4648	
25	-24,4001	25	-50,1538	25	-23,4295	
25,1	-24,3408	25,1	-52,5264	25,1	-23,4265	
25,2	-24,2378	25,2	-55,1256	25,2	-23,4402	
25,3	-24,1246	25,3	-57,5407	25,3	-23,4328	
25,4	-23,9677	25,4	-66,7577	25,4	-23,4921	
25,5	-23,8371	25,5	-70,4011	25,5	-23,509	
25,6	-23,6487	25,6	-59,394	25,6	-23,5103	
25,7	-23,538	25,7	-56,186	25,7	-23,5118	
25,8	-23,3721	25,8	-52,7886	25,8	-23,5152	
25,9	-23,2384	25,9	-51,3757	25,9	-23,508	
26	-23,0196	26	-48,8452	26	-23,4906	
26,1	-22,835	26,1	-47,6171	26,1	-23,4345	
26,2	-22,6302	26,2	-46,4216	26,2	-23,36	
26,3	-22,5065	26,3	-45,718	26,3	-23,3169	
26,4	-22,277	26,4	-44,1983	26,4	-23,26	
26,5	-22,0942	26,5	-43,4815	26,5	-23,1908	
26,6	-21,8739	26,6	-42,5607	26,6	-23,0985	
26,7	-21,6743	26,7	-41,844	26,7	-23,0103	
26,8	-21,4673	26,8	-41,0859	26,8	-22,9181	
26,9	-21,2577	26,9	-40,3674	26,9	-22,8293	
27	-21,1162	27	-39,8321	27	-22,7576	
27,1	-20,8352	27,1	-39,0313	27,1	-22,5953	
27,2	-20,6896	27,2	-38,5675	27,2	-22,5423	
27,3	-20,5174	27,3	-38,0249	27,3	-22,4422	
27,4	-20,3304	27,4	-37,4926	27,4	-22,3271	
27,5	-20,1096	27,5	-36,875	27,5	-22,235	
27,6	-19,9302	27,6	-36,3759	27,6	-22,1571	
27,7	-19,7841	27,7	-36,0854	27,7	-22,0902	
27,8	-19,5408	27,8	-35,5167	27,8	-22,0196	
27,9	-19,2971	27,9	-35,0333	27,9	-21,9116	
28	-19,2073	28	-34,7452	28	-21,8542	
28,1	-18,9227	28,1	-34,1135	28,1	-21,7069	
28,2	-18,7476	28,2	-33,7081	28,2	-21,6153	
28,3	-18,5804	28,3	-33,3302	28,3	-21,5408	
28,4	-18,3193	28,4	-32,7783	28,4	-21,4004	
28,5	-18,1924	28,5	-32,5222	28,5	-21,3217	
28,6	-17,9907	28,6	-32,0895	28,6	-21,2073	
28,7	-17,7583	28,7	-31,5516	28,7	-21,0916	
28,8	-17,5565	28,8	-31,1527	28,8	-20,9893	
28,9	-17,3922	28,9	-30,8648	28,9	-20,8792	
29	-17,1056	29	-30,3121	29	-20,702	
29,1	-16,9529	29,1	-30,0569	29,1	-20,6032	
29,2	-16,7335	29,2	-29,6497	29,2	-20,4874	
29,3	-16,5224	29,3	-29,2465	29,3	-20,368	
29,4	-16,3621	29,4	-28,9684	29,4	-20,2758	
29,5	-16,1291	29,5	-28,6201	29,5	-20,1359	
29,6	-15,8718	29,6	-28,1963	29,6	-19,9597	
29,7	-15,6994	29,7	-27,8581	29,7	-19,8228	
29,8	-15,4506	29,8	-27,4644	29,8	-19,6878	
29,9	-15,1875	29,9	-27,0108	29,9	-19,5425	
30	-15,0223	30	-26,7392	30	-19,4148	
30,1	-14,7636	30,1	-26,3393	30,1	-19,2573	
30,2	-14,5276	30,2	-25,9666	30,2	-19,1108	
30,3	-14,2999	30,3	-25,6068	30,3	-18,9637	
30,4	-14,1543	30,4	-25,392	30,4	-18,876	
30,5	-13,7999	30,5	-24,8845	30,5	-18,6208	
30,6	-13,5792	30,6	-24,5238	30,6	-18,4219	
30,7	-13,3564	30,7	-24,1886	30,7	-18,2208	
30,8	-13,0894	30,8	-23,8023	30,8	-17,9489	
30,9	-12,8526	30,9	-23,4721	30,9	-17,6945	
31	-12,5504	31	-23,0431	31	-17,3561	
31,1	-12,3429	31,1	-22,7347	31,1	-17,1364	
31,2	-11,9812	31,2	-22,2442	31,2	-16,7974	
31,3	-11,7907	31,3	-22,0197	31,3	-16,6229	
31,4	-11,4384	31,4	-21,5198	31,4	-16,3212	
31,5	-11,1775	31,5	-21,1753	31,5	-16,1204	
31,6	-10,9402	31,6	-20,8719	31,6	-15,9321	
31,7	-10,5623	31,7	-20,3729	31,7	-15,6339	
31,8	-10,2502	31,8	-19,9722	31,8	-15,4014	
31,9	-9,98339	31,9	-19,6203	31,9	-15,2004	
32	-9,56764	32	-19,086	32	-14,8656	
32,1	-9,34767	32,1	-18,8186	32,1	-14,6744	
32,2	-8,85325	32,2	-18,1884	32,2	-14,2726	
32,3	-8,53727	32,3	-17,7962	32,3	-14,0289	
32,4	-8,17449	32,4	-17,3479	32,4	-13,7111	
32,5	-7,74604	32,5	-16,8131	32,5	-13,3535	
32,6	-7,44483	32,6	-16,4575	32,6	-13,1	
32,7	-6,98873	32,7	-15,9031	32,7	-12,7315	
32,8	-6,54791	32,8	-15,3755	32,8	-12,3476	
32,9	-6,12311	32,9	-14,881	32,9	-11,9524	
33	-5,73677	33	-14,438	33	-11,6215	
33,1	-5,0301	33,1	-13,6039	33,1	-10,9888	
33,2	-4,68131	33,2	-13,1861	33,2	-10,6848	
33,3	-4,11141	33,3	-12,5479	33,3	-10,1718	
33,4	-3,41565	33,4	-11,747	33,4	-9,54618	
33,5	-3,14256	33,5	-11,4331	33,5	-9,29107	
33,6	-2,56629	33,6	-10,8021	33,6	-8,75399	
33,7	-1,68049	33,7	-9,82303	33,7	-7,93754	
33,8	-1,05491	33,8	-9,13312	33,8	-7,35707	
33,9	-0,292398	33,9	-8,28864	33,9	-6,6467	
34	0,348341	34	-7,58591	34	-6,04606	
34,1	1,4396	34,1	-6,40629	34,1	-5,01611	
34,2	2,33645	34,2	-5,43397	34,2	-4,15698	
34,3	3,05546	34,3	-4,66663	34,3	-3,47232	
34,4	4,07933	34,4	-3,56172	34,4	-2,49617	
34,5	5,56625	34,5	-1,97321	34,5	-1,07325	
34,6	6,18151	34,6	-1,32014	34,6	-0,485199	
34,7	7,34654	34,7	-0,0789057	34,7	0,631203	
34,8	8,30976	34,8	0,944089	34,8	1,54514	
34,9	8,42665	34,9	1,13813	34,9	1,62571	
35	8,72689	35	1,49343	35	1,89285	
35,1	8,31455	35,1	1,1598	35,1	1,42268	
35,2	7,60697	35,2	0,521346	35,2	0,68095	
35,3	6,92303	35,3	-0,119415	35,3	-0,0119844	
35,4	5,46282	35,4	-1,49926	35,4	-1,53161	
35,5	4,23254	35,5	-2,65757	35,5	-2,81034	
35,6	3,51887	35,6	-3,31639	35,6	-3,55163	
35,7	2,70697	35,7	-4,07209	35,7	-4,39676	
35,8	1,52782	35,8	-5,18707	35,8	-5,63786	
35,9	1,15654	35,9	-5,52622	35,9	-6,01698	
36	0,114995	36	-6,4677	36	-7,11609	
36,1	-0,41244	36,1	-6,94016	36,1	-7,66943	
36,2	-0,888106	36,2	-7,3746	36,2	-8,17279	
36,3	-1,7229	36,3	-8,14021	36,3	-9,03468	
36,4	-2,20696	36,4	-8,56908	36,4	-9,56281	
36,5	-2,59806	36,5	-8,91393	36,5	-9,99005	
36,6	-3,07544	36,6	-9,32471	36,6	-10,5002	
36,7	-3,58639	36,7	-9,77001	36,7	-11,0509	
36,8	-3,94741	36,8	-10,0937	36,8	-11,4313	
36,9	-4,4198	36,9	-10,5065	36,9	-11,9364	
37	-4,70412	37	-10,7556	37	-12,2507	
37,1	-5,07801	37,1	-11,0753	37,1	-12,6591	
37,2	-5,37071	37,2	-11,3177	37,2	-12,979	
37,3	-5,72286	37,3	-11,6306	37,3	-13,3704	
37,4	-6,15875	37,4	-11,9952	37,4	-13,8292	
37,5	-6,35773	37,5	-12,1566	37,5	-14,0482	
37,6	-6,71562	37,6	-12,45	37,6	-14,4531	
37,7	-6,94327	37,7	-12,6221	37,7	-14,6905	
37,8	-7,23588	37,8	-12,8639	37,8	-15,0152	
37,9	-7,49004	37,9	-13,0787	37,9	-15,2994	
38	-7,75578	38	-13,27	38	-15,5684	
38,1	-7,97635	38,1	-13,429	38,1	-15,8158	
38,2	-8,11036	38,2	-13,522	38,2	-15,991	
38,3	-8,32816	38,3	-13,6925	38,3	-16,2478	
38,4	-8,54951	38,4	-13,8562	38,4	-16,494	
38,5	-8,70416	38,5	-13,959	38,5	-16,6814	
38,6	-8,90585	38,6	-14,0951	38,6	-16,9047	
38,7	-9,04502	38,7	-14,189	38,7	-17,0713	
38,8	-9,15829	38,8	-14,2428	38,8	-17,223	
38,9	-9,31888	38,9	-14,3381	38,9	-17,4298	
39	-9,44369	39	-14,4097	39	-17,5741	
39,1	-9,52919	39,1	-14,4507	39,1	-17,6857	
39,2	-9,64131	39,2	-14,4945	39,2	-17,863	
39,3	-9,69256	39,3	-14,5154	39,3	-17,9585	
39,4	-9,78824	39,4	-14,5455	39,4	-18,1034	
39,5	-9,86629	39,5	-14,5689	39,5	-18,2235	
39,6	-9,9106	39,6	-14,5622	39,6	-18,3199	
39,7	-9,98129	39,7	-14,5686	39,7	-18,4459	
39,8	-10,0263	39,8	-14,5897	39,8	-18,5108	
39,9	-10,0654	39,9	-14,5416	39,9	-18,6089	
40	-10,1267	40	-14,5461	40	-18,7347	
40,1	-10,1642	40,1	-14,5643	40,1	-18,8187	
40,2	-10,2142	40,2	-14,5705	40,2	-18,9074	
40,3	-10,3239	40,3	-14,6024	40,3	-19,0517	
40,4	-10,4042	40,4	-14,6186	40,4	-19,1842	
40,5	-10,4413	40,5	-14,6071	40,5	-19,2637	
40,6	-10,5415	40,6	-14,6419	40,6	-19,4057	
40,7	-10,6222	40,7	-14,6773	40,7	-19,4914	
40,8	-10,7362	40,8	-14,7137	40,8	-19,6412	
40,9	-10,7834	40,9	-14,7298	40,9	-19,7291	
41	-10,9496	41	-14,8186	41	-19,9373	
41,1	-11,0521	41,1	-14,8792	41,1	-20,0573	
41,2	-11,1313	41,2	-14,9	41,2	-20,1447	
41,3	-11,2642	41,3	-14,9635	41,3	-20,3109	
41,4	-11,3733	41,4	-15,0277	41,4	-20,4397	
41,5	-11,5025	41,5	-15,0867	41,5	-20,5736	
41,6	-11,6276	41,6	-15,1422	41,6	-20,7156	
41,7	-11,7341	41,7	-15,1917	41,7	-20,81	
41,8	-11,8799	41,8	-15,2733	41,8	-20,9743	
41,9	-12,0572	41,9	-15,3768	41,9	-21,182	
42	-12,105	42	-15,3935	42	-21,2481	
42,1	-12,1989	42,1	-15,4531	42,1	-21,3772	
42,2	-12,3619	42,2	-15,5317	42,2	-21,5154	
42,3	-12,4299	42,3	-15,5499	42,3	-21,5877	
42,4	-12,5561	42,4	-15,6247	42,4	-21,7448	
42,5	-12,6695	42,5	-15,6731	42,5	-21,8524	
42,6	-12,7632	42,6	-15,7112	42,6	-21,943	
42,7	-12,8914	42,7	-15,7719	42,7	-22,0926	
42,8	-12,9791	42,8	-15,821	42,8	-22,1509	
42,9	-13,1039	42,9	-15,8706	42,9	-22,2771	
43	-13,2661	43	-15,9427	43	-22,4425	
43,1	-13,3721	43,1	-15,9941	43,1	-22,5472	
43,2	-13,4548	43,2	-16,0253	43,2	-22,653	
43,3	-13,5123	43,3	-16,0428	43,3	-22,7112	
43,4	-13,6493	43,4	-16,1038	43,4	-22,838	
43,5	-13,7219	43,5	-16,1454	43,5	-22,942	
43,6	-13,8278	43,6	-16,1757	43,6	-23,0438	
43,7	-13,9456	43,7	-16,2095	43,7	-23,1389	
43,8	-14,0205	43,8	-16,2438	43,8	-23,2238	
43,9	-14,1192	43,9	-16,2835	43,9	-23,3403	
44	-14,237	44	-16,3158	44	-23,4393	
44,1	-14,3118	44,1	-16,3276	44,1	-23,5086	
44,2	-14,4203	44,2	-16,3499	44,2	-23,606	
44,3	-14,4812	44,3	-16,3684	44,3	-23,6802	
44,4	-14,552	44,4	-16,4159	44,4	-23,7674	
44,5	-14,6635	44,5	-16,4035	44,5	-23,8509	
44,6	-14,7599	44,6	-16,4343	44,6	-23,9475	
44,7	-14,8764	44,7	-16,4818	44,7	-24,0558	
44,8	-14,942	44,8	-16,4925	44,8	-24,1102	
44,9	-15,0153	44,9	-16,5036	44,9	-24,1631	
45	-15,0825	45	-16,5176	45	-24,241	
45,1	-15,157	45,1	-16,5355	45,1	-24,3126	
45,2	-15,2564	45,2	-16,5335	45,2	-24,3766	
45,3	-15,325	45,3	-16,5408	45,3	-24,4288	
45,4	-15,4019	45,4	-16,5645	45,4	-24,5228	
45,5	-15,4845	45,5	-16,5612	45,5	-24,5765	
45,6	-15,5507	45,6	-16,574	45,6	-24,6286	
45,7	-15,654	45,7	-16,598	45,7	-24,7254	
45,8	-15,7159	45,8	-16,6048	45,8	-24,7772	
45,9	-15,789	45,9	-16,6017	45,9	-24,8339	
46	-15,8658	46	-16,6031	46	-24,8949	
46,1	-15,9178	46,1	-16,5937	46,1	-24,9428	
46,2	-15,9867	46,2	-16,6217	46,2	-25,0358	
46,3	-16,11	46,3	-16,6147	46,3	-25,0956	
46,4	-16,1537	46,4	-16,6055	46,4	-25,1285	
46,5	-16,248	46,5	-16,5997	46,5	-25,179	
46,6	-16,2972	46,6	-16,6104	46,6	-25,2518	
46,7	-16,3519	46,7	-16,6326	46,7	-25,2996	
46,8	-16,4394	46,8	-16,5658	46,8	-25,3543	
46,9	-16,5123	46,9	-16,5557	46,9	-25,3755	
47	-16,5739	47	-16,5651	47	-25,4228	
47,1	-16,6244	47,1	-16,5629	47,1	-25,4658	
47,2	-16,7178	47,2	-16,5517	47,2	-25,5539	
47,3	-16,8093	47,3	-16,5337	47,3	-25,5775	
47,4	-16,8592	47,4	-16,5323	47,4	-25,6232	
47,5	-16,9228	47,5	-16,5248	47,5	-25,6683	
47,6	-16,9853	47,6	-16,4973	47,6	-25,6816	
47,7	-17,0139	47,7	-16,4884	47,7	-25,707	
47,8	-17,1063	47,8	-16,4659	47,8	-25,7685	
47,9	-17,172	47,9	-16,4234	47,9	-25,7772	
48	-17,2323	48	-16,4314	48	-25,8219	
48,1	-17,3042	48,1	-16,4305	48,1	-25,8782	
48,2	-17,3746	48,2	-16,3926	48,2	-25,9082	
48,3	-17,4599	48,3	-16,3687	48,3	-25,941	
48,4	-17,5427	48,4	-16,3504	48,4	-25,9679	
48,5	-17,5968	48,5	-16,3359	48,5	-26,0475	
48,6	-17,6319	48,6	-16,3147	48,6	-26,0584	
48,7	-17,708	48,7	-16,2941	48,7	-26,0753	
48,8	-17,7874	48,8	-16,2541	48,8	-26,1028	
48,9	-17,8305	48,9	-16,2336	48,9	-26,1242	
49	-17,8722	49	-16,2039	49	-26,1217	
49,1	-17,9969	49,1	-16,1513	49,1	-26,179	
49,2	-18,0554	49,2	-16,1362	49,2	-26,2162	
49,3	-18,0851	49,3	-16,1161	49,3	-26,2287	
49,4	-18,1522	49,4	-16,0784	49,4	-26,2536	
49,5	-18,2155	49,5	-16,0365	49,5	-26,2584	
49,6	-18,2859	49,6	-16,0234	49,6	-26,2828	
49,7	-18,3567	49,7	-15,9671	49,7	-26,2984	
49,8	-18,4058	49,8	-15,9555	49,8	-26,3202	
49,9	-18,4823	49,9	-15,9053	49,9	-26,3055	
50	-18,5489	50	-15,8525	50	-26,3269	
50,1	-18,607	50,1	-15,7923	50,1	-26,3092	
50,2	-18,6916	50,2	-15,7637	50,2	-26,347	
50,3	-18,7337	50,3	-15,741	50,3	-26,3549	
50,4	-18,7972	50,4	-15,6934	50,4	-26,3693	
50,5	-18,8696	50,5	-15,6482	50,5	-26,365	
50,6	-18,9379	50,6	-15,6217	50,6	-26,3745	
50,7	-19,018	50,7	-15,574	50,7	-26,3669	
50,8	-19,1081	50,8	-15,5293	50,8	-26,3775	
50,9	-19,1625	50,9	-15,471	50,9	-26,3571	
51	-19,2172	51	-15,4352	51	-26,365	
51,1	-19,2681	51,1	-15,3901	51,1	-26,3771	
51,2	-19,3289	51,2	-15,339	51,2	-26,357	
51,3	-19,4134	51,3	-15,2752	51,3	-26,3343	
51,4	-19,49	51,4	-15,2187	51,4	-26,3192	
51,5	-19,5508	51,5	-15,1741	51,5	-26,3127	
51,6	-19,6301	51,6	-15,1329	51,6	-26,2789	
51,7	-19,7039	51,7	-15,043	51,7	-26,2339	
51,8	-19,7863	51,8	-14,9776	51,8	-26,2242	
51,9	-19,8377	51,9	-14,9396	51,9	-26,2035	
52	-19,8955	52	-14,8978	52	-26,1743	
52,1	-19,9962	52,1	-14,7998	52,1	-26,1144	
52,2	-20,092	52,2	-14,7204	52,2	-26,0696	
52,3	-20,1641	52,3	-14,656	52,3	-26,0539	
52,4	-20,282	52,4	-14,5461	52,4	-25,9639	
52,5	-20,3254	52,5	-14,5016	52,5	-25,9398	
52,6	-20,3967	52,6	-14,4551	52,6	-25,9325	
52,7	-20,4639	52,7	-14,4105	52,7	-25,913	
52,8	-20,5664	52,8	-14,3052	52,8	-25,8545	
52,9	-20,6686	52,9	-14,2237	52,9	-25,8045	
53	-20,7304	53	-14,157	53	-25,7634	
53,1	-20,9023	53,1	-13,987	53,1	-25,6704	
53,2	-20,9163	53,2	-14,0078	53,2	-25,688	
53,3	-21,0199	53,3	-13,9112	53,3	-25,6363	
53,4	-21,1065	53,4	-13,816	53,4	-25,5633	
53,5	-21,1975	53,5	-13,7471	53,5	-25,5562	
53,6	-21,2906	53,6	-13,668	53,6	-25,526	
53,7	-21,3813	53,7	-13,5824	53,7	-25,4477	
53,8	-21,553	53,8	-13,4537	53,8	-25,38	
53,9	-21,6224	53,9	-13,38	53,9	-25,3416	
54	-21,6848	54	-13,3162	54	-25,3129	
54,1	-21,7747	54,1	-13,228	54,1	-25,2529	
54,2	-21,9997	54,2	-13,0529	54,2	-25,1443	
54,3	-22,0812	54,3	-12,9649	54,3	-25,097	
54,4	-22,148	54,4	-12,8867	54,4	-25,0606	
54,5	-22,2717	54,5	-12,7683	54,5	-25,004	
54,6	-22,3838	54,6	-12,6697	54,6	-24,9264	
54,7	-22,5548	54,7	-12,5558	54,7	-24,8628	
54,8	-22,6884	54,8	-12,4585	54,8	-24,8036	
54,9	-22,8868	54,9	-12,277	54,9	-24,6744	
55	-23,0102	55	-12,1852	55	-24,6116	
55,1	-23,1672	55,1	-12,0878	55,1	-24,5682	
55,2	-23,2982	55,2	-11,9734	55,2	-24,4963	
55,3	-23,4308	55,3	-11,8533	55,3	-24,3975	
55,4	-23,6365	55,4	-11,6987	55,4	-24,3129	
55,5	-23,9159	55,5	-11,5041	55,5	-24,171	
