Frekvenca [Hz] - Palica 1	Amplituda frekv. prenosne funkcije [dB] - Palica 1	Frekvenca [Hz] - Palica 2	Amplituda frekv. prenosne funkcije [dB] - Palica 2	Frekvenca [Hz] - Palica 3	Amplituda frekv. prenosne funkcije [dB] - Palica 3	
10	-39,2416	10	-38,5612	10	-37,6847	
10,1	-38,8448	10,1	-38,2026	10,1	-37,2487	
10,2	-38,6364	10,2	-37,9699	10,2	-36,9397	
10,3	-38,2703	10,3	-37,1868	10,3	-36,0871	
10,4	-37,7401	10,4	-36,7259	10,4	-35,8736	
10,5	-36,9833	10,5	-35,8822	10,5	-34,8927	
10,6	-36,9347	10,6	-35,5445	10,6	-34,6635	
10,7	-36,5651	10,7	-35,1377	10,7	-34,1305	
10,8	-35,9194	10,8	-34,4691	10,8	-33,4576	
10,9	-35,6901	10,9	-34,121	10,9	-33,0469	
11	-35,371	11	-33,6502	11	-32,5439	
11,1	-34,9959	11,1	-33,1663	11,1	-32,1227	
11,2	-34,4353	11,2	-32,5679	11,2	-31,5422	
11,3	-34,0027	11,3	-32,0518	11,3	-31,0058	
11,4	-33,4858	11,4	-31,3611	11,4	-30,2562	
11,5	-33,3085	11,5	-31,2905	11,5	-30,2427	
11,6	-32,874	11,6	-30,7482	11,6	-29,7045	
11,7	-32,5249	11,7	-30,2951	11,7	-29,3806	
11,8	-32,2068	11,8	-29,8226	11,8	-28,8514	
11,9	-31,8929	11,9	-29,4265	11,9	-27,9873	
12	-31,4225	12	-28,879	12	-26,8836	
12,1	-30,8289	12,1	-28,1753	12,1	-25,7517	
12,2	-30,3963	12,2	-27,6078	12,2	-25,2134	
12,3	-29,9558	12,3	-27,0896	12,3	-24,7103	
12,4	-29,3905	12,4	-26,397	12,4	-23,9987	
12,5	-28,9068	12,5	-25,8227	12,5	-23,4626	
12,6	-28,6728	12,6	-25,4685	12,6	-23,156	
12,7	-27,7534	12,7	-24,3242	12,7	-22,0119	
12,8	-27,2476	12,8	-23,7257	12,8	-21,405	
12,9	-26,8666	12,9	-23,3057	12,9	-20,9744	
13	-26,1724	13	-22,5034	13	-20,1417	
13,1	-25,6681	13,1	-21,954	13,1	-19,5506	
13,2	-25,1101	13,2	-21,2535	13,2	-18,8163	
13,3	-24,1326	13,3	-20,1142	13,3	-17,6328	
13,4	-23,3527	13,4	-19,2232	13,4	-16,6813	
13,5	-22,42	13,5	-18,1261	13,5	-15,542	
13,6	-21,5389	13,6	-17,1175	13,6	-14,4902	
13,7	-20,6387	13,7	-16,0536	13,7	-13,3938	
13,8	-19,4535	13,8	-14,6947	13,8	-12,0037	
13,9	-18,7436	13,9	-13,8218	13,9	-11,0877	
14	-17,4695	14	-12,3457	14	-9,56223	
14,1	-16,462	14,1	-11,17	14,1	-8,35036	
14,2	-16,6347	14,2	-11,2032	14,2	-8,35227	
14,3	-16,4753	14,3	-10,7682	14,3	-7,86156	
14,4	-16,9938	14,4	-10,9784	14,4	-8,01264	
14,5	-17,7336	14,5	-11,5817	14,5	-8,57252	
14,6	-19,0236	14,6	-12,6784	14,6	-9,61248	
14,7	-20,787	14,7	-14,1724	14,7	-11,0586	
14,8	-21,5817	14,8	-14,7787	14,8	-11,6127	
14,9	-23,0009	14,9	-15,9166	14,9	-12,6844	
15	-23,8326	15	-16,6674	15	-13,3915	
15,1	-24,7009	15,1	-17,3424	15,1	-14,0287	
15,2	-26,0673	15,2	-18,3217	15,2	-14,9285	
15,3	-26,729	15,3	-18,8367	15,3	-15,3875	
15,4	-27,5292	15,4	-19,4124	15,4	-15,9165	
15,5	-28,7124	15,5	-20,1576	15,5	-16,5956	
15,6	-29,4666	15,6	-20,6257	15,6	-17,0216	
15,7	-30,1554	15,7	-20,9978	15,7	-17,3422	
15,8	-31,425	15,8	-21,7263	15,8	-17,984	
15,9	-31,977	15,9	-22,0702	15,9	-18,3007	
16	-32,7181	16	-22,397	16	-18,5535	
16,1	-33,8015	16,1	-22,954	16,1	-19,0173	
16,2	-34,4312	16,2	-23,2285	16,2	-19,233	
16,3	-35,251	16,3	-23,5598	16,3	-19,5159	
16,4	-36,3614	16,4	-24,0299	16,4	-19,9031	
16,5	-36,9653	16,5	-24,343	16,5	-20,147	
16,6	-37,8198	16,6	-24,6719	16,6	-20,4282	
16,7	-38,6882	16,7	-24,9035	16,7	-20,6156	
16,8	-39,9331	16,8	-25,3412	16,8	-20,9968	
16,9	-41,0427	16,9	-25,7174	16,9	-21,3146	
17	-41,8332	17	-25,8903	17	-21,4776	
17,1	-42,5566	17,1	-26,2749	17,1	-21,8595	
17,2	-43,0032	17,2	-26,4986	17,2	-22,0579	
17,3	-43,8974	17,3	-26,8557	17,3	-22,4265	
17,4	-44,5812	17,4	-27,0264	17,4	-22,4509	
17,5	-45,445	17,5	-27,2516	17,5	-22,2293	
17,6	-47,0469	17,6	-27,4622	17,6	-22,0079	
17,7	-47,204	17,7	-27,6224	17,7	-22,0662	
17,8	-47,5509	17,8	-27,7796	17,8	-22,0813	
