Frekvenca [Hz] - Plot 0	Faza frekv. prenosne funkcije [rad] - Plot 0	Frekvenca [Hz] - Plot 1	Faza frekv. prenosne funkcije [rad] - Plot 1	Frekvenca [Hz] - Plot 2	Faza frekv. prenosne funkcije [rad] - Plot 2	
10	3,06105	10	3,01593	10	3,00822	
10,1	3,05919	10,1	3,01055	10,1	3,00653	
10,2	3,04899	10,2	2,99848	10,2	3,01394	
10,3	3,05481	10,3	3,01766	10,3	3,0231	
10,4	3,06463	10,4	3,0108	10,4	3,00546	
10,5	3,07391	10,5	3,03285	10,5	3,02895	
10,6	3,09395	10,6	3,028	10,6	3,02351	
10,7	3,09021	10,7	3,03258	10,7	3,02337	
10,8	3,09111	10,8	3,02371	10,8	3,01711	
10,9	3,08482	10,9	3,03356	10,9	3,03668	
11	3,07709	11	3,04917	11	3,05211	
11,1	3,06819	11,1	3,02813	11,1	3,03667	
11,2	3,08105	11,2	3,03352	11,2	3,04985	
11,3	3,06552	11,3	3,03592	11,3	3,05789	
11,4	3,06448	11,4	3,03522	11,4	3,07531	
11,5	3,07123	11,5	3,04116	11,5	3,08788	
11,6	3,07129	11,6	3,02174	11,6	3,08229	
11,7	3,07624	11,7	3,0203	11,7	3,11396	
11,8	3,07335	11,8	3,03605	11,8	3,13466	
11,9	3,06963	11,9	3,02534	11,9	3,09333	
12	3,07815	12	3,04346	12	3,08288	
12,1	3,08562	12,1	3,05248	12,1	3,07342	
12,2	3,08158	12,2	3,02745	12,2	3,03892	
12,3	3,07073	12,3	3,01603	12,3	3,03111	
12,4	3,07641	12,4	3,04036	12,4	3,04512	
12,5	3,06669	12,5	3,03294	12,5	3,02869	
12,6	3,05746	12,6	3,023	12,6	3,01547	
12,7	3,07427	12,7	3,03242	12,7	3,031	
12,8	3,06997	12,8	3,0228	12,8	3,02375	
12,9	3,0727	12,9	3,02702	12,9	3,02845	
13	3,06586	13	3,01656	13	3,016	
13,1	3,06024	13,1	3,01006	13,1	3,00825	
13,2	3,07804	13,2	3,0341	13,2	3,03205	
13,3	3,06384	13,3	3,01015	13,3	3,00457	
13,4	3,06701	13,4	3,02356	13,4	3,01988	
13,5	3,05997	13,5	3,01929	13,5	3,01515	
13,6	3,04442	13,6	2,9975	13,6	2,98996	
13,7	3,04969	13,7	3,00448	13,7	2,99511	
13,8	3,04225	13,8	2,99702	13,8	2,98895	
13,9	3,03835	13,9	2,98156	13,9	2,97138	
14	3,04109	14	2,98212	14	2,97146	
14,1	3,04139	14,1	2,9866	14,1	2,97732	
14,2	3,04016	14,2	2,99511	14,2	2,98542	
14,3	3,03135	14,3	2,98846	14,3	2,9775	
14,4	3,04792	14,4	3,01437	14,4	3,00694	
14,5	3,044	14,5	3,01548	14,5	3,00611	
14,6	3,03258	14,6	3,00326	14,6	2,99175	
14,7	3,03299	14,7	3,00555	14,7	2,99321	
14,8	3,02613	14,8	3,00042	14,8	2,98441	
14,9	3,03764	14,9	3,0121	14,9	3,00095	
15	3,02765	15	2,99957	15	2,98796	
15,1	3,0191	15,1	2,9892	15,1	2,97681	
15,2	3,02169	15,2	2,9932	15,2	2,98031	
15,3	3,02086	15,3	2,99709	15,3	2,98468	
15,4	3,01762	15,4	2,99318	15,4	2,98031	
15,5	3,00846	15,5	2,97526	15,5	2,96177	
15,6	2,9914	15,6	2,95886	15,6	2,94579	
15,7	2,98514	15,7	2,95406	15,7	2,9414	
15,8	2,96454	15,8	2,92686	15,8	2,91155	
15,9	2,97259	15,9	2,94316	15,9	2,93334	
16	2,93707	16	2,89888	16	2,88778	
16,1	2,95835	16,1	2,92959	16,1	2,9247	
16,2	2,94254	16,2	2,90982	16,2	2,90337	
16,3	2,91402	16,3	2,87685	16,3	2,87017	
16,4	2,92396	16,4	2,89339	16,4	2,89417	
16,5	2,90834	16,5	2,87933	16,5	2,88343	
16,6	2,89195	16,6	2,86692	16,6	2,87764	
16,7	2,85455	16,7	2,83002	16,7	2,84937	
16,8	2,85828	16,8	2,83792	16,8	2,86528	
16,9	2,84224	16,9	2,8261	16,9	2,86403	
17	2,82061	17	2,80744	17	2,84686	
17,1	2,80876	17,1	2,79687	17,1	2,83406	
17,2	2,77416	17,2	2,75406	17,2	2,77653	
17,3	2,76195	17,3	2,73687	17,3	2,74787	
17,4	2,78064	17,4	2,75859	17,4	2,7659	
17,5	2,77571	17,5	2,74848	17,5	2,74813	
17,6	2,74099	17,6	2,70405	17,6	2,70147	
17,7	2,71655	17,7	2,67544	17,7	2,67306	
17,8	2,67207	17,8	2,6253	17,8	2,62066	
17,9	2,65053	17,9	2,60378	17,9	2,59868	
18	2,60261	18	2,55427	18	2,54963	
18,1	2,51859	18,1	2,46923	18,1	2,46447	
18,2	2,42073	18,2	2,3683	18,2	2,3619	
18,3	2,37997	18,3	2,32688	18,3	2,32056	
18,4	2,3084	18,4	2,25347	18,4	2,24599	
18,5	2,1807	18,5	2,12073	18,5	2,11022	
18,6	2,08281	18,6	2,02488	18,6	2,01431	
18,7	1,90144	18,7	1,83968	18,7	1,82692	
18,8	1,77509	18,8	1,71056	18,8	1,69706	
18,9	1,64071	18,9	1,57723	18,9	1,56351	
19	1,44075	19	1,37653	19	1,36229	
19,1	1,26374	19,1	1,19821	19,1	1,18289	
19,2	1,16916	19,2	1,10112	19,2	1,08564	
19,3	0,92327	19,3	0,853546	19,3	0,838008	
19,4	0,870435	19,4	0,795599	19,4	0,778232	
19,5	0,751991	19,5	0,675974	19,5	0,659009	
19,6	0,662146	19,6	0,587123	19,6	0,571372	
19,7	0,646502	19,7	0,56667	19,7	0,549345	
19,8	0,553402	19,8	0,477576	19,8	0,461386	
19,9	0,537525	19,9	0,459095	19,9	0,443257	
20	0,504921	20	0,421152	20	0,404767	
20,1	0,48615	20,1	0,396359	20,1	0,378143	
20,2	0,470064	20,2	0,378863	20,2	0,361085	
20,3	0,482184	20,3	0,381967	20,3	0,362848	
20,4	0,432623	20,4	0,333834	20,4	0,315949	
20,5	0,382195	20,5	0,290867	20,5	0,275015	
20,6	0,372084	20,6	0,275798	20,6	0,258948	
20,7	0,382653	20,7	0,275461	20,7	0,257206	
20,8	0,377279	20,8	0,270329	20,8	0,251416	
20,9	0,319097	20,9	0,222925	20,9	0,206691	
21	0,319947	21	0,221186	21	0,204558	
21,1	0,328581	21,1	0,21663	21,1	0,197741	
21,2	0,354401	21,2	0,224966	21,2	0,203733	
21,3	0,323111	21,3	0,201757	21,3	0,182847	
21,4	0,312536	21,4	0,191979	21,4	0,173647	
21,5	0,34682	21,5	0,207631	21,5	0,185881	
21,6	0,342555	21,6	0,19091	21,6	0,169526	
21,7	0,296895	21,7	0,161133	21,7	0,143168	
21,8	0,286617	21,8	0,154273	21,8	0,137168	
21,9	0,27807	21,9	0,144773	21,9	0,12705	
22	0,317619	22	0,154401	22	0,133899	
22,1	0,305442	22,1	0,146998	22,1	0,127643	
22,2	0,312834	22,2	0,143417	22,2	0,123661	
22,3	0,320375	22,3	0,141712	22,3	0,120742	
22,4	0,321437	22,4	0,132581	22,4	0,112412	
22,5	0,342873	22,5	0,144119	22,5	0,122096	
22,6	0,347021	22,6	0,13623	22,6	0,114985	
22,7	0,316116	22,7	0,118312	22,7	0,0990612	
22,8	0,33701	22,8	0,121302	22,8	0,100573	
22,9	0,337456	22,9	0,115591	22,9	0,0956914	
23	0,341782	23	0,106871	23	0,0877091	
23,1	0,409732	23,1	0,123686	23,1	0,100344	
23,2	0,41487	23,2	0,11213	23,2	0,0899169	
23,3	0,398558	23,3	0,103823	23,3	0,0831631	
23,4	0,45573	23,4	0,113713	23,4	0,0904805	
23,5	0,439669	23,5	0,100194	23,5	0,0781947	
23,6	0,368142	23,6	0,0803514	23,6	0,0625526	
23,7	0,461688	23,7	0,0900196	23,7	0,0695327	
23,8	0,500781	23,8	0,0863266	23,8	0,0664171	
23,9	0,524476	23,9	0,0851008	23,9	0,0656834	
24	0,600552	24	0,0915369	24	0,0687735	
24,1	0,477906	24,1	0,0707563	24,1	0,0529896	
24,2	0,532877	24,2	0,05015	24,2	0,0332306	
24,3	0,661885	24,3	0,0549839	24,3	0,03521	
24,4	0,780033	24,4	0,059239	24,4	0,0389774	
24,5	0,935753	24,5	0,05104	24,5	0,0326641	
24,6	0,932797	24,6	0,0344264	24,6	0,0204139	
24,7	1,26951	24,7	0,0436526	24,7	0,0251499	
24,8	1,63733	24,8	0,0409318	24,8	0,0218618	
24,9	1,81619	24,9	0,0212491	24,9	0,00656056	
25	2,28691	25	0,00612369	25	-0,00750983	
25,1	2,4079	25,1	0,00458519	25,1	-0,0101377	
25,2	2,58118	25,2	0,00483491	25,2	-0,0115609	
25,3	2,69717	25,3	0,00343176	25,3	-0,0134047	
25,4	2,876	25,4	-0,0124531	25,4	-0,023581	
25,5	2,98287	25,5	-0,0285221	25,5	-0,0352851	
25,6	2,99887	25,6	-0,0316377	25,6	-0,0370909	
25,7	3,01561	25,7	-0,0280495	25,7	-0,0345969	
25,8	2,96465	25,8	-0,0101777	25,8	-0,0217708	
25,9	2,96148	25,9	-0,0102364	25,9	-0,0222473	
26	2,99742	26	-0,0144846	26	-0,0275407	
26,1	3,01152	26,1	-0,0185179	26,1	-0,0272456	
26,2	3,00551	26,2	-0,00407237	26,2	-0,0159313	
26,3	2,99734	26,3	0,00263168	26,3	-0,00990487	
26,4	2,98481	26,4	0,0101268	26,4	-0,0056178	
26,5	2,96467	26,5	0,0212945	26,5	0,000690301	
26,6	2,97084	26,6	0,0244799	26,6	0,00430737	
26,7	2,97984	26,7	0,0268599	26,7	0,00560328	
26,8	2,99921	26,8	0,0211834	26,8	0,000366531	
26,9	2,99846	26,9	0,0202499	26,9	0,00251928	
27	3,01592	27	0,0202374	27	0,00530807	
27,1	3,01855	27,1	0,0166802	27,1	0,00132364	
27,2	3,01288	27,2	0,0283618	27,2	0,00643348	
27,3	3,01408	27,3	0,0304766	27,3	0,00882019	
27,4	3,01242	27,4	0,0302653	27,4	0,00898221	
27,5	3,01026	27,5	0,0297329	27,5	0,0052586	
27,6	3,00137	27,6	0,035179	27,6	0,00842672	
27,7	3,01491	27,7	0,0273674	27,7	0,00564868	
27,8	3,02552	27,8	0,0199559	27,8	0,00204087	
27,9	3,02598	27,9	0,0295501	27,9	0,00578961	
28	3,02238	28	0,0372223	28	0,0093608	
28,1	3,0452	28,1	0,0239988	28,1	0,00293771	
28,2	3,03691	28,2	0,0242136	28,2	0,00283697	
28,3	3,03757	28,3	0,0237925	28,3	0,00122237	
28,4	3,03198	28,4	0,0318986	28,4	0,00485545	
28,5	3,02268	28,5	0,0398088	28,5	0,00918091	
28,6	3,03133	28,6	0,0353342	28,6	0,00954931	
28,7	3,03845	28,7	0,0279817	28,7	0,00608713	
28,8	3,03092	28,8	0,0322694	28,8	0,00684285	
28,9	3,03267	28,9	0,0326337	28,9	0,0087144	
29	3,03396	29	0,0299181	29	0,00870544	
29,1	3,02938	29,1	0,0384949	29,1	0,0108802	
29,2	3,03049	29,2	0,037299	29,2	0,0109317	
29,3	3,02882	29,3	0,0391314	29,3	0,012392	
29,4	3,02647	29,4	0,0398967	29,4	0,0151639	
29,5	3,04551	29,5	0,0181301	29,5	0,00637391	
29,6	3,03997	29,6	0,0260163	29,6	0,012141	
29,7	3,03601	29,7	0,0360113	29,7	0,0163536	
29,8	3,03496	29,8	0,0417543	29,8	0,0206109	
29,9	3,02816	29,9	0,0426864	29,9	0,0229608	
30	3,03314	30	0,0319141	30	0,0222023	
30,1	3,02729	30,1	0,0325718	30,1	0,0240679	
30,2	3,02725	30,2	0,0409587	30,2	0,0310534	
30,3	3,0284	30,3	0,0350397	30,3	0,030836	
30,4	3,03145	30,4	0,033431	30,4	0,0367927	
30,5	3,02945	30,5	0,0339577	30,5	0,0406566	
30,6	3,02367	30,6	0,0293216	30,6	0,0368967	
30,7	3,01575	30,7	0,0408609	30,7	0,0376689	
30,8	3,02068	30,8	0,0424657	30,8	0,0355765	
30,9	3,0228	30,9	0,0297557	30,9	0,0299352	
31	3,02348	31	0,0211472	31	0,0208393	
31,1	3,02349	31,1	0,018745	31,1	0,020184	
31,2	3,01919	31,2	0,0253867	31,2	0,0181855	
31,3	3,01399	31,3	0,0326773	31,3	0,0178963	
31,4	3,01949	31,4	0,0208562	31,4	0,0073812	
31,5	3,01763	31,5	0,0113685	31,5	0,0047716	
31,6	3,01454	31,6	0,013562	31,6	0,00136038	
31,7	3,01685	31,7	0,0196404	31,7	0,00284696	
31,8	3,01815	31,8	0,0253621	31,8	0,00279695	
31,9	3,01125	31,9	0,0308149	31,9	0,00246561	
32	3,01948	32	0,0157178	32	-0,00126872	
32,1	3,02206	32,1	0,0178289	32,1	0,00147747	
32,2	3,01711	32,2	0,0273558	32,2	-0,00107266	
32,3	3,02356	32,3	0,0297426	32,3	-0,00288109	
32,4	3,02584	32,4	0,026371	32,4	-0,00734476	
32,5	3,01825	32,5	0,036119	32,5	-0,00607649	
32,6	3,02273	32,6	0,0350036	32,6	-0,00512319	
32,7	3,02629	32,7	0,0506539	32,7	-0,00225164	
32,8	3,03621	32,8	0,0478644	32,8	-0,00502665	
32,9	3,0451	32,9	0,0420106	32,9	-0,00739757	
33	3,04203	33	0,0487887	33	-0,00898746	
33,1	3,03891	33,1	0,0475632	33,1	-0,0114183	
33,2	3,0393	33,2	0,0512664	33,2	-0,0082713	
33,3	3,05123	33,3	0,0605439	33,3	-0,00832022	
33,4	3,04989	33,4	0,0577751	33,4	-0,0086844	
33,5	3,05551	33,5	0,0666256	33,5	-0,0114343	
33,6	3,05616	33,6	0,0725438	33,6	-0,0127272	
33,7	3,06053	33,7	0,0706498	33,7	-0,0123432	
33,8	3,06191	33,8	0,0631812	33,8	-0,0141035	
33,9	3,05988	33,9	0,0799189	33,9	-0,0155419	
34	3,0638	34	0,0882828	34	-0,0140102	
34,1	3,06566	34,1	0,0839402	34,1	-0,0181383	
34,2	3,06601	34,2	0,100355	34,2	-0,0166814	
34,3	3,06697	34,3	0,0928136	34,3	-0,0212761	
34,4	3,06714	34,4	0,0905679	34,4	-0,0235838	
34,5	3,06478	34,5	0,102908	34,5	-0,0215336	
34,6	3,06402	34,6	0,115135	34,6	-0,0211573	
34,7	3,06844	34,7	0,10709	34,7	-0,0238015	
34,8	3,07199	34,8	0,10345	34,8	-0,0238217	
34,9	3,06732	34,9	0,119881	34,9	-0,0240172	
35	3,06607	35	0,126132	35	-0,0257079	
35,1	3,06688	35,1	0,126736	35,1	-0,0279967	
35,2	3,06681	35,2	0,127682	35,2	-0,028959	
35,3	3,07047	35,3	0,130832	35,3	-0,027507	
35,4	3,06837	35,4	0,140923	35,4	-0,0281371	
35,5	3,0675	35,5	0,145649	35,5	-0,0293554	
35,6	3,07074	35,6	0,143475	35,6	-0,0315432	
35,7	3,07032	35,7	0,153966	35,7	-0,0324901	
35,8	3,0669	35,8	0,162916	35,8	-0,0324186	
35,9	3,06571	35,9	0,160473	35,9	-0,0350023	
36	3,0647	36	0,171072	36	-0,0366199	
36,1	3,06414	36,1	0,167637	36,1	-0,0389224	
36,2	3,0545	36,2	0,214796	36,2	-0,0406688	
36,3	3,05494	36,3	0,213307	36,3	-0,0418417	
36,4	3,05582	36,4	0,212959	36,4	-0,0430476	
36,5	3,05824	36,5	0,205655	36,5	-0,0452074	
36,6	3,05775	36,6	0,208345	36,6	-0,0499567	
36,7	3,05549	36,7	0,213306	36,7	-0,0497077	
36,8	3,04738	36,8	0,243566	36,8	-0,0527157	
36,9	3,05667	36,9	0,219208	36,9	-0,0502856	
37	3,05674	37	0,211135	37	-0,0531343	
37,1	3,0508	37,1	0,244365	37,1	-0,0595136	
37,2	3,03938	37,2	0,309606	37,2	-0,0653676	
37,3	3,04173	37,3	0,306786	37,3	-0,0662222	
37,4	3,04259	37,4	0,315099	37,4	-0,0685111	
37,5	3,03622	37,5	0,36479	37,5	-0,0712073	
37,6	3,03517	37,6	0,392588	37,6	-0,077177	
37,7	3,04048	37,7	0,375372	37,7	-0,0757878	
37,8	3,03636	37,8	0,375136	37,8	-0,0814682	
37,9	3,02943	37,9	0,467839	37,9	-0,0855905	
38	3,02392	38	0,521271	38	-0,0937469	
38,1	3,01627	38,1	0,677195	38,1	-0,0995336	
38,2	3,01135	38,2	0,721833	38,2	-0,104576	
38,3	3,00842	38,3	0,876395	38,3	-0,111325	
38,4	3,0081	38,4	1,04211	38,4	-0,11554	
38,5	3,00937	38,5	1,39006	38,5	-0,118087	
38,6	3,00853	38,6	1,66677	38,6	-0,121748	
38,7	3,00114	38,7	1,9196	38,7	-0,127767	
38,8	2,9955	38,8	2,22459	38,8	-0,136227	
38,9	2,99147	38,9	2,44249	38,9	-0,142008	
39	2,9948	39	2,61644	39	-0,141444	
39,1	2,99459	39,1	2,7628	39,1	-0,147608	
39,2	2,992	39,2	2,82003	39,2	-0,150355	
39,3	2,98829	39,3	2,79762	39,3	-0,153927	
39,4	2,98585	39,4	2,81029	39,4	-0,160629	
39,5	2,9906	39,5	2,91218	39,5	-0,158683	
39,6	2,98976	39,6	2,92953	39,6	-0,156881	
39,7	2,98816	39,7	2,90111	39,7	-0,158188	
39,8	2,98387	39,8	2,87728	39,8	-0,161566	
39,9	2,98696	39,9	2,9113	39,9	-0,16258	
40	2,99189	40	2,92967	40	-0,157394	
40,1	2,98782	40,1	2,90134	40,1	-0,160029	
40,2	2,9864	40,2	2,88519	40,2	-0,158925	
40,3	2,99321	40,3	2,90996	40,3	-0,15279	
40,4	2,99563	40,4	2,91401	40,4	-0,151074	
40,5	2,99352	40,5	2,90637	40,5	-0,152989	
40,6	3,00107	40,6	2,91799	40,6	-0,143872	
40,7	3,00886	40,7	2,95363	40,7	-0,140418	
40,8	3,00771	40,8	2,93908	40,8	-0,140197	
40,9	3,00913	40,9	2,9343	40,9	-0,13541	
41	3,00841	41	2,932	41	-0,135741	
41,1	3,0166	41,1	2,94878	41,1	-0,127929	
41,2	3,01274	41,2	2,93559	41,2	-0,129481	
41,3	3,01361	41,3	2,94283	41,3	-0,129159	
41,4	3,01073	41,4	2,92635	41,4	-0,130785	
41,5	3,01736	41,5	2,94161	41,5	-0,124432	
41,6	3,02189	41,6	2,94079	41,6	-0,120091	
41,7	3,01634	41,7	2,9191	41,7	-0,12346	
41,8	3,01698	41,8	2,93037	41,8	-0,120433	
41,9	3,0251	41,9	2,95492	41,9	-0,11373	
42	3,02692	42	2,96046	42	-0,111229	
42,1	3,02263	42,1	2,94959	42,1	-0,116042	
42,2	3,02653	42,2	2,95756	42,2	-0,113406	
42,3	3,02875	42,3	2,96216	42,3	-0,111203	
42,4	3,02396	42,4	2,94908	42,4	-0,115313	
42,5	3,0217	42,5	2,94118	42,5	-0,114423	
42,6	3,02273	42,6	2,94862	42,6	-0,112206	
42,7	3,0268	42,7	2,95617	42,7	-0,111538	
42,8	3,02455	42,8	2,95695	42,8	-0,113202	
42,9	3,01861	42,9	2,94033	42,9	-0,116719	
43	3,01279	43	2,92656	43	-0,12413	
43,1	3,017	43,1	2,93982	43,1	-0,12028	
43,2	3,02594	43,2	2,95818	43,2	-0,112198	
43,3	3,01942	43,3	2,9469	43,3	-0,118339	
43,4	3,02277	43,4	2,95775	43,4	-0,116421	
43,5	3,00528	43,5	2,92118	43,5	-0,132597	
43,6	3,01507	43,6	2,94328	43,6	-0,122514	
43,7	3,01773	43,7	2,94942	43,7	-0,120596	
43,8	3,01349	43,8	2,94254	43,8	-0,124908	
43,9	3,00798	43,9	2,93222	43,9	-0,131617	
44	3,01599	44	2,95031	44	-0,123357	
44,1	3,00982	44,1	2,94189	44,1	-0,129715	
44,2	3,00264	44,2	2,93033	44,2	-0,136797	
44,3	2,99803	44,3	2,91943	44,3	-0,141058	
44,4	2,99861	44,4	2,92484	44,4	-0,141145	
44,5	2,9925	44,5	2,91763	44,5	-0,146477	
44,6	2,99169	44,6	2,91735	44,6	-0,146271	
44,7	2,99242	44,7	2,9202	44,7	-0,145663	
44,8	2,98708	44,8	2,91162	44,8	-0,15106	
44,9	2,97874	44,9	2,90082	44,9	-0,160585	
45	2,96793	45	2,88856	45	-0,172272	
45,1	2,96582	45,1	2,88864	45,1	-0,174628	
45,2	2,96368	45,2	2,886	45,2	-0,176584	
45,3	2,95691	45,3	2,87962	45,3	-0,182894	
45,4	2,95288	45,4	2,87536	45,4	-0,185423	
45,5	2,95314	45,5	2,87953	45,5	-0,185519	
45,6	2,93432	45,6	2,85417	45,6	-0,205218	
45,7	2,9197	45,7	2,83632	45,7	-0,220216	
45,8	2,90642	45,8	2,82287	45,8	-0,233525	
45,9	2,89205	45,9	2,80717	45,9	-0,248267	
46	2,88048	46	2,79856	46	-0,259205	
46,1	2,8808	46,1	2,8016	46,1	-0,258487	
46,2	2,8699	46,2	2,79319	46,2	-0,269057	
46,3	2,84496	46,3	2,7661	46,3	-0,29366	
46,4	2,83753	46,4	2,76094	46,4	-0,30223	
46,5	2,83194	46,5	2,7556	46,5	-0,306793	
46,6	2,79589	46,6	2,71332	46,6	-0,342565	
46,7	2,74545	46,7	2,65764	46,7	-0,393973	
46,8	2,71601	46,8	2,6339	46,8	-0,423652	
46,9	2,69523	46,9	2,61762	46,9	-0,443319	
47	2,6718	47	2,59788	47	-0,466105	
47,1	2,63541	47,1	2,56393	47,1	-0,503158	
47,2	2,58597	47,2	2,51219	47,2	-0,553302	
47,3	2,47796	47,3	2,3973	47,3	-0,662802	
47,4	2,38435	47,4	2,30648	47,4	-0,755267	
47,5	2,33522	47,5	2,26333	47,5	-0,80104	
47,6	2,22989	47,6	2,15471	47,6	-0,906007	
47,7	2,01471	47,7	1,93312	47,7	-1,12318	
47,8	1,94921	47,8	1,87095	47,8	-1,18838	
47,9	1,64759	47,9	1,56997	47,9	-1,49044	
48	1,48661	48	1,41209	48	-1,65139	
48,1	1,23966	48,1	1,16437	48,1	-1,89875	
48,2	1,09391	48,2	1,01813	48,2	-2,04475	
48,3	0,986694	48,3	0,904802	48,3	-2,15383	
48,4	0,886263	48,4	0,805855	48,4	-2,25414	
48,5	0,760666	48,5	0,674801	48,5	-2,3802	
48,6	0,655683	48,6	0,575694	48,6	-2,48459	
48,7	0,584346	48,7	0,507892	48,7	-2,55469	
48,8	0,522272	48,8	0,446709	48,8	-2,61574	
48,9	0,467693	48,9	0,391735	48,9	-2,66891	
49	0,461377	49	0,381331	49	-2,67629	
49,1	0,429348	49,1	0,348133	49,1	-2,70709	
49,2	0,422767	49,2	0,337041	49,2	-2,71457	
49,3	0,393242	49,3	0,30782	49,3	-2,74355	
49,4	0,349089	49,4	0,266164	49,4	-2,78364	
49,5	0,345218	49,5	0,257707	49,5	-2,78841	
49,6	0,323536	49,6	0,236478	49,6	-2,80976	
49,7	0,303477	49,7	0,220145	49,7	-2,82766	
49,8	0,279357	49,8	0,196395	49,8	-2,8495	
49,9	0,271593	49,9	0,187737	49,9	-2,85732	
50	0,259155	50	0,17499	50	-2,8705	
50,1	0,247822	50,1	0,161336	50,1	-2,88013	
50,2	0,231485	50,2	0,148273	50,2	-2,8953	
50,3	0,247228	50,3	0,158067	50,3	-2,88518	
50,4	0,240362	50,4	0,149398	50,4	-2,89293	
50,5	0,215949	50,5	0,129717	50,5	-2,91301	
50,6	0,208577	50,6	0,122972	50,6	-2,9202	
50,7	0,202159	50,7	0,115753	50,7	-2,9284	
50,8	0,197695	50,8	0,109883	50,8	-2,93641	
50,9	0,192639	50,9	0,10604	50,9	-2,94096	
51	0,195586	51	0,104142	51	-2,94163	
51,1	0,189277	51,1	0,0984632	51,1	-2,94725	
51,2	0,173469	51,2	0,0884778	51,2	-2,96039	
51,3	0,173805	51,3	0,0861856	51,3	-2,96287	
51,4	0,180665	51,4	0,0876188	51,4	-2,96127	
51,5	0,179976	51,5	0,0823344	51,5	-2,96645	
51,6	0,174413	51,6	0,0776432	51,6	-2,97389	
51,7	0,153514	51,7	0,0671301	51,7	-2,99163	
51,8	0,155048	51,8	0,0661031	51,8	-2,99467	
51,9	0,157166	51,9	0,0645926	51,9	-2,99464	
52	0,146327	52	0,0597573	52	-3,00116	
52,1	0,151693	52,1	0,0599276	52,1	-3,00309	
52,2	0,154243	52,2	0,0581962	52,2	-3,00711	
52,3	0,14896	52,3	0,0545062	52,3	-3,01267	
52,4	0,139442	52,4	0,048596	52,4	-3,01993	
52,5	0,135942	52,5	0,0471465	52,5	-3,02445	
52,6	0,137126	52,6	0,044442	52,6	-3,03147	
52,7	0,139667	52,7	0,0451348	52,7	-3,03092	
52,8	0,136966	52,8	0,0420227	52,8	-3,03416	
52,9	0,139425	52,9	0,0386151	52,9	-3,03746	
53	0,138111	53	0,0355437	53	-3,04144	
53,1	0,13805	53,1	0,0354404	53,1	-3,04365	
