Frekvenca [Hz] - Plot 0	Faza frekv. prenosne funkcije [rad] - Plot 0	Frekvenca [Hz] - Plot 1	Faza frekv. prenosne funkcije [rad] - Plot 1	Frekvenca [Hz] - Plot 2	Faza frekv. prenosne funkcije [rad] - Plot 2	
53,2	0,13058	53,2	0,0308737	53,2	-3,05079	
53,3	0,123793	53,3	0,0272307	53,3	-3,05754	
53,4	0,128295	53,4	0,0283787	53,4	-3,05724	
53,5	0,124709	53,5	0,0258263	53,5	-3,06091	
53,6	0,129633	53,6	0,0256042	53,6	-3,06027	
53,7	0,139306	53,7	0,0255755	53,7	-3,05874	
53,8	0,140046	53,8	0,0239116	53,8	-3,06131	
53,9	0,134923	53,9	0,0180694	53,9	-3,0692	
54	0,128605	54	0,0176368	54	-3,07267	
54,1	0,136501	54,1	0,0180418	54,1	-3,07155	
54,2	0,148859	54,2	0,0166616	54,2	-3,06959	
54,3	0,14204	54,3	0,0162261	54,3	-3,07443	
54,4	0,132943	54,4	0,0118331	54,4	-3,0805	
54,5	0,141503	54,5	0,0104509	54,5	-3,0798	
54,6	0,145787	54,6	0,00830558	54,6	-3,08373	
54,7	0,136727	54,7	0,00926178	54,7	-3,08509	
54,8	0,131898	54,8	0,00747579	54,8	-3,09055	
54,9	0,132907	54,9	0,00734415	54,9	-3,09057	
55	0,140286	55	0,0057275	55	-3,09264	
55,1	0,15223	55,1	0,00346641	55,1	-3,09517	
55,2	0,157615	55,2	0,00320615	55,2	-3,0943	
55,3	0,16439	55,3	0,00283258	55,3	-3,09207	
55,4	0,153546	55,4	0,000192607	55,4	-3,09978	
55,5	0,160859	55,5	-0,000628197	55,5	-3,09941	
55,6	0,161861	55,6	-0,00195079	55,6	-3,10216	
55,7	0,168163	55,7	-0,00440646	55,7	-3,1045	
55,8	0,182073	55,8	-0,0045769	55,8	-3,10356	
55,9	0,188601	55,9	-0,00492674	55,9	-3,10526	
56	0,183784	56	-0,0063329	56	-3,10989	
56,1	0,195553	56,1	-0,00605189	56,1	-3,10921	
56,2	0,208568	56,2	-0,00544451	56,2	-3,10694	
56,3	0,208086	56,3	-0,00801964	56,3	-3,11115	
56,4	0,237316	56,4	-0,0113755	56,4	-3,11225	
56,5	0,236435	56,5	-0,0119178	56,5	-3,11347	
56,6	0,244668	56,6	-0,0139128	56,6	-3,11618	
56,7	0,293438	56,7	-0,0154329	56,7	-3,11448	
56,8	0,301233	56,8	-0,0163283	56,8	-3,11882	
56,9	0,285509	56,9	-0,0169293	56,9	-3,12343	
57	0,321432	57	-0,0151609	57	-3,12059	
57,1	0,331834	57,1	-0,0162097	57,1	-3,12273	
57,2	0,374483	57,2	-0,0181956	57,2	-3,12331	
57,3	0,450482	57,3	-0,0209839	57,3	-3,12363	
57,4	0,488888	57,4	-0,0233675	57,4	-3,12708	
57,5	0,521657	57,5	-0,0243415	57,5	-3,12825	
57,6	0,584387	57,6	-0,0249953	57,6	-3,1286	
57,7	0,653199	57,7	-0,0259467	57,7	-3,12979	
57,8	0,727512	57,8	-0,0259068	57,8	-3,13399	
