Frekvenca [Hz] - Frekv. prenosna funkcija	Amplituda frekv. prenosne funkcije [m/s^2/N] - Frekv. prenosna funkcija	
351	-27,1486	
352	-27,1677	
353	-27,2322	
354	-27,3254	
355	-27,4028	
356	-27,4845	
357	-27,4624	
358	-27,3662	
359	-27,2531	
360	-27,1789	
361	-27,1179	
362	-27,0531	
363	-27,003	
364	-26,9465	
365	-26,9353	
366	-26,9442	
367	-27,0298	
368	-27,1232	
369	-27,1901	
370	-27,2452	
371	-27,2541	
372	-27,2224	
373	-27,1891	
374	-27,156	
375	-27,1323	
376	-27,1084	
377	-27,0944	
378	-27,0941	
379	-27,0958	
380	-27,106	
381	-27,0901	
382	-27,1022	
383	-27,1111	
384	-27,1097	
385	-27,1093	
386	-27,1142	
387	-27,0751	
388	-26,9901	
389	-27,1012	
390	-27,1812	
391	-27,2092	
392	-27,1982	
393	-27,2083	
394	-27,2144	
395	-27,2316	
396	-27,2334	
397	-27,2311	
398	-27,2377	
399	-27,2615	
400	-27,2784	
401	-27,2996	
402	-27,308	
403	-27,3146	
404	-27,3449	
405	-27,37	
406	-27,3702	
407	-27,3884	
408	-27,3884	
409	-27,4111	
410	-27,4311	
411	-27,4711	
412	-27,4765	
413	-27,5038	
414	-27,5211	
415	-27,5251	
416	-27,5566	
417	-27,5878	
418	-27,6211	
419	-27,6339	
420	-27,6474	
421	-27,6673	
422	-27,709	
423	-27,7295	
424	-27,7706	
425	-27,7946	
426	-27,8234	
427	-27,8451	
428	-27,8769	
429	-27,9135	
430	-27,9638	
431	-28,0181	
432	-28,0754	
433	-28,1155	
434	-28,211	
435	-28,2922	
436	-28,4037	
437	-28,5297	
438	-28,6671	
439	-28,8365	
440	-28,975	
441	-29,0214	
442	-29,0022	
443	-28,8927	
444	-28,8439	
445	-28,7525	
446	-28,7286	
447	-28,7413	
448	-28,6891	
449	-28,7846	
450	-28,8903	
451	-28,8182	
452	-29,1128	
453	-29,6027	
454	-27,4945	
455	-28,2764	
456	-28,3363	
457	-28,5183	
458	-28,6919	
459	-28,7456	
460	-28,8113	
461	-28,8997	
462	-28,9834	
463	-29,0282	
464	-29,0744	
465	-29,1373	
466	-29,1978	
467	-29,2403	
468	-29,3103	
469	-29,3755	
470	-29,4523	
471	-29,5058	
472	-29,5691	
473	-29,6241	
474	-29,7004	
475	-29,7747	
476	-29,8454	
477	-29,9293	
478	-29,9868	
479	-30,097	
480	-30,1598	
481	-30,2357	
482	-30,3185	
483	-30,3812	
484	-30,4888	
485	-30,5916	
486	-30,6723	
487	-30,7794	
488	-30,87	
489	-30,9926	
490	-31,1335	
491	-31,2266	
492	-31,3357	
493	-31,4548	
