Frekvenca [Hz] - Frekv. prenosna funkcija	Amplituda frekv. prenosne funkcije [dB] - Frekv. prenosna funkcija	
352	-15,8762	
353	-15,8776	
354	-15,8778	
355	-15,8787	
356	-15,8774	
357	-15,8685	
358	-15,8485	
359	-15,8299	
360	-15,8213	
361	-15,8177	
362	-15,8207	
363	-15,8456	
364	-15,8868	
365	-15,9118	
366	-15,8779	
367	-15,7955	
368	-15,731	
369	-15,6894	
370	-15,6631	
371	-15,6411	
372	-15,6235	
373	-15,6073	
374	-15,5955	
375	-15,5751	
376	-15,5646	
377	-15,5422	
378	-15,5389	
379	-15,5239	
380	-15,5075	
381	-15,4894	
382	-15,4787	
383	-15,4618	
384	-15,4443	
385	-15,4255	
386	-15,3993	
387	-15,3653	
388	-15,2861	
389	-15,3254	
390	-15,3456	
391	-15,3351	
392	-15,3268	
393	-15,3078	
394	-15,2958	
395	-15,2829	
396	-15,2715	
397	-15,2577	
398	-15,236	
399	-15,2212	
400	-15,2108	
401	-15,1941	
402	-15,1768	
403	-15,1567	
404	-15,1458	
405	-15,1265	
406	-15,111	
407	-15,0978	
408	-15,0767	
409	-15,0622	
410	-15,0446	
411	-15,0253	
412	-15,0122	
413	-14,9931	
414	-14,9722	
415	-14,952	
416	-14,9308	
417	-14,9152	
418	-14,8954	
419	-14,8771	
420	-14,8597	
421	-14,8369	
422	-14,821	
423	-14,8019	
424	-14,7815	
425	-14,7631	
426	-14,7411	
427	-14,7252	
428	-14,7029	
429	-14,6866	
430	-14,6659	
431	-14,644	
432	-14,6261	
433	-14,613	
434	-14,5954	
435	-14,5753	
436	-14,5596	
437	-14,5415	
438	-14,5313	
439	-14,5086	
440	-14,4898	
441	-14,4663	
442	-14,4422	
443	-14,4122	
444	-14,3774	
445	-14,3537	
446	-14,3179	
447	-14,2855	
448	-14,2554	
449	-14,2265	
450	-14,188	
451	-14,1384	
452	-14,1359	
453	-14,1189	
454	-14,2414	
455	-14,0951	
456	-14,0517	
457	-14,01	
458	-13,9697	
459	-13,948	
460	-13,9205	
461	-13,8829	
462	-13,8501	
463	-13,8193	
464	-13,7922	
465	-13,7629	
466	-13,7256	
467	-13,6957	
468	-13,6631	
469	-13,6317	
470	-13,6	
471	-13,5623	
472	-13,5321	
473	-13,5025	
474	-13,4641	
475	-13,4322	
476	-13,3966	
477	-13,359	
478	-13,3237	
479	-13,2895	
480	-13,2554	
481	-13,2196	
482	-13,1876	
483	-13,1526	
484	-13,1116	
485	-13,0674	
486	-13,0254	
487	-12,9918	
488	-12,9562	
489	-12,91	
490	-12,8705	
491	-12,8285	
492	-12,7908	
493	-12,75	
494	-12,71	
495	-12,665	
496	-12,6229	
497	-12,579	
498	-12,5347	
499	-12,4873	
500	-12,4427	
501	-12,3979	
502	-12,3541	
503	-12,3084	
504	-12,2612	
505	-12,2123	
506	-12,1648	
507	-12,1171	
508	-12,0696	
509	-12,0211	
510	-11,9685	
511	-11,9193	
512	-11,8676	
513	-11,8192	
514	-11,7617	
515	-11,7057	
516	-11,6527	
517	-11,6012	
518	-11,5486	
519	-11,4903	
520	-11,4309	
521	-11,3754	
522	-11,315	
523	-11,2586	
524	-11,1973	
525	-11,1329	
526	-11,0693	
527	-11,0064	
528	-10,9434	
529	-10,8779	
530	-10,8111	
531	-10,7459	
532	-10,6722	
533	-10,6062	
534	-10,5368	
535	-10,4665	
536	-10,3967	
537	-10,3228	
538	-10,2488	
539	-10,1757	
540	-10,0993	
541	-10,0225	
542	-9,9429	
543	-9,86286	
544	-9,77946	
545	-9,69591	
546	-9,61069	
547	-9,5249	
548	-9,43894	
549	-9,34705	
550	-9,25635	
551	-9,16531	
552	-9,06206	
553	-8,96849	
554	-8,87169	
555	-8,76974	
556	-8,66659	
