Frekvenca [Hz] - Frekv. prenosna funkcija	Amplituda frekv. prenosne funkcije [dB] - Frekv. prenosna funkcija	
0	-31,1482	
1	-31,1859	
2	-23,9511	
3	-20,2658	
4	-23,0265	
5	-23,3046	
6	-23,5463	
7	-23,6418	
8	-23,7409	
9	-23,8289	
10	-23,9834	
11	-24,2949	
12	-24,6654	
13	-23,4338	
14	-21,3268	
15	-21,7043	
16	-22,1034	
17	-22,3678	
18	-22,5693	
19	-22,6159	
20	-22,6618	
21	-22,7293	
22	-22,7731	
23	-22,8033	
24	-22,8369	
25	-22,8783	
26	-22,8976	
27	-22,9072	
28	-22,9288	
29	-22,9331	
30	-22,9447	
31	-22,9762	
32	-22,9816	
33	-22,9858	
34	-23,0001	
35	-23,0176	
36	-23,0209	
37	-23,041	
38	-23,0534	
39	-23,0652	
40	-23,067	
41	-23,0558	
42	-23,0213	
43	-23,0449	
44	-23,0451	
45	-23,0807	
46	-23,1134	
47	-23,1098	
48	-23,1029	
49	-23,0948	
50	-23,1052	
51	-23,1109	
52	-23,1009	
53	-23,1096	
54	-23,0979	
55	-23,1201	
56	-23,1229	
57	-23,128	
58	-23,1346	
59	-23,1414	
60	-23,1486	
61	-23,1548	
62	-23,1572	
63	-23,1531	
64	-23,1387	
65	-23,1457	
66	-23,1525	
67	-23,1692	
68	-23,1621	
69	-23,1532	
70	-23,1589	
71	-23,1616	
72	-23,1732	
73	-23,1784	
74	-23,1927	
75	-23,193	
76	-23,1933	
77	-23,1881	
78	-23,1884	
79	-23,1878	
80	-23,182	
81	-23,1933	
82	-23,1917	
83	-23,2069	
84	-23,203	
85	-23,1942	
86	-23,193	
87	-23,1976	
88	-23,2059	
89	-23,1994	
90	-23,1933	
91	-23,194	
92	-23,1892	
93	-23,1909	
94	-23,1942	
95	-23,1831	
96	-23,1787	
97	-23,1712	
98	-23,1816	
99	-23,177	
100	-23,1611	
101	-23,1597	
102	-23,1492	
103	-23,1527	
104	-23,1368	
105	-23,1465	
106	-23,1412	
107	-23,1291	
108	-23,1268	
109	-23,1333	
110	-23,1128	
111	-23,1002	
112	-23,1069	
113	-23,0952	
114	-23,0835	
115	-23,0813	
116	-23,0578	
117	-23,0463	
118	-23,0409	
119	-23,0448	
120	-23,0281	
121	-23,0255	
122	-23,0136	
123	-23,0059	
124	-22,9964	
125	-22,9873	
126	-22,9824	
127	-22,9685	
128	-22,9653	
129	-22,9542	
130	-22,9527	
131	-22,9288	
132	-22,9126	
133	-22,8965	
134	-22,8782	
135	-22,8722	
136	-22,8621	
137	-22,8435	
138	-22,82	
139	-22,8101	
140	-22,7927	
141	-22,763	
142	-22,748	
143	-22,7471	
144	-22,7245	
145	-22,7096	
146	-22,6906	
147	-22,6667	
148	-22,6383	
149	-22,6202	
150	-22,6098	
151	-22,5881	
152	-22,5516	
153	-22,5469	
154	-22,5133	
155	-22,4961	
156	-22,4757	
157	-22,4572	
158	-22,4319	
159	-22,4043	
160	-22,3757	
161	-22,341	
162	-22,3144	
163	-22,2906	
164	-22,2653	
165	-22,2348	
166	-22,199	
167	-22,1649	
168	-22,136	
169	-22,0972	
170	-22,0668	
171	-22,0261	
172	-21,9884	
173	-21,9463	
174	-21,9029	
175	-21,8583	
176	-21,804	
177	-21,7637	
178	-21,7121	
179	-21,6723	
180	-21,6233	
181	-21,5718	
182	-21,5077	
183	-21,452	
184	-21,3913	
185	-21,323	
186	-21,2583	
187	-21,1884	
188	-21,1223	
189	-21,0453	
190	-20,9738	
191	-20,888	
192	-20,804	
193	-20,7113	
194	-20,6084	
195	-20,5	
196	-20,3884	
197	-20,2678	
198	-20,1459	
199	-20,0196	
200	-19,9009	
201	-19,7582	
202	-19,5974	
203	-19,4189	
204	-19,2172	
205	-19,006	
206	-18,7702	
207	-18,5488	
208	-18,2637	
209	-17,9614	
210	-17,6176	
211	-17,3045	
212	-16,8965	
213	-16,4819	
214	-15,9483	
215	-15,3532	
216	-14,6458	
217	-13,817	
218	-12,8253	
219	-11,6072	
220	-10,0121	
221	-7,92848	
222	-4,45789	
223	0,940432	
224	6,33301	
225	-2,59457	
226	-7,87783	
227	-12,4096	
228	-15,4598	
229	-17,6989	
230	-19,595	
231	-21,9262	
232	-24,9205	
233	-26,2637	
234	-28,0624	
235	-30,8198	
236	-33,0355	
237	-36,2793	
238	-39,4995	
239	-45,2223	
240	-45,59	
241	-49,8671	
242	-43,7846	
243	-41,6342	
244	-39,869	
245	-38,5948	
246	-37,1342	
247	-36,1546	
248	-35,4307	
249	-34,5982	
250	-33,8448	
251	-33,3226	
252	-32,7609	
253	-32,3323	
254	-31,9738	
255	-31,6798	
256	-31,4047	
257	-31,1275	
258	-30,9097	
259	-30,7147	
260	-30,5217	
261	-30,3725	
262	-30,2274	
263	-30,0439	
264	-29,9108	
265	-29,8189	
266	-29,7552	
267	-29,7919	
268	-29,9624	
269	-30,3868	
270	-30,5488	
271	-29,9257	
272	-29,3828	
273	-29,0798	
274	-28,9236	
275	-28,8073	
276	-28,7107	
277	-28,6153	
278	-28,5402	
279	-28,4866	
280	-28,4507	
281	-28,4276	
282	-28,4526	
283	-28,4949	
284	-28,4636	
285	-28,3326	
286	-28,1855	
287	-28,0775	
288	-28,0381	
289	-27,9887	
290	-27,9568	
291	-27,9161	
292	-27,875	
293	-27,8409	
294	-27,8001	
295	-27,7578	
296	-27,7412	
297	-27,7302	
298	-27,7028	
299	-27,6824	
300	-27,6643	
301	-27,6484	
302	-27,6105	
303	-27,6099	
304	-27,604	
305	-27,5868	
306	-27,5722	
307	-27,5675	
308	-27,5586	
309	-27,5483	
310	-27,5331	
311	-27,5343	
312	-27,5304	
313	-27,5242	
314	-27,5138	
315	-27,4948	
316	-27,4766	
317	-27,4795	
318	-27,472	
319	-27,4805	
320	-27,4605	
321	-27,4425	
322	-27,4498	
323	-27,4674	
324	-27,4604	
325	-27,4566	
326	-27,4578	
327	-27,4737	
328	-27,4657	
329	-27,4628	
330	-27,464	
331	-27,4605	
332	-27,4641	
333	-27,4602	
334	-27,444	
335	-27,4529	
336	-27,4677	
337	-27,4616	
338	-27,4788	
339	-27,5081	
340	-27,5386	
341	-27,5652	
342	-27,5942	
343	-27,6115	
344	-27,6203	
345	-27,638	
346	-27,6663	
347	-27,6777	
348	-27,6873	
349	-27,7127	
350	-27,7221	
351	-27,7261	
352	-27,7474	
353	-27,7699	
354	-27,7978	
355	-27,8045	
356	-27,8183	
357	-27,8466	
358	-27,8715	
