Frekvenca [Hz] - Frekv. prenosna funkcija	Amplituda frekv. prenosne funkcije [dB] - Frekv. prenosna funkcija	
359	-27,8935	
360	-27,9105	
361	-27,9302	
362	-27,9604	
363	-27,9759	
364	-28,0001	
365	-28,042	
366	-28,0678	
367	-28,0781	
368	-28,1135	
369	-28,146	
370	-28,1828	
371	-28,2117	
372	-28,2536	
373	-28,2794	
374	-28,3097	
375	-28,3402	
376	-28,3766	
377	-28,4177	
378	-28,4562	
379	-28,5138	
380	-28,572	
381	-28,6113	
382	-28,6429	
383	-28,7035	
384	-28,7314	
385	-28,7903	
386	-28,8394	
387	-28,9042	
388	-28,9454	
389	-29,0084	
390	-29,0844	
391	-29,1424	
392	-29,2034	
393	-29,2698	
394	-29,3246	
395	-29,4077	
396	-29,4838	
397	-29,5779	
398	-29,627	
399	-29,7155	
400	-29,8074	
401	-29,8901	
402	-29,9902	
403	-30,0993	
404	-30,2042	
405	-30,3454	
406	-30,4188	
407	-30,5474	
408	-30,6561	
409	-30,7778	
410	-30,9158	
411	-31,0478	
412	-31,1854	
413	-31,3727	
414	-31,5404	
415	-31,7273	
416	-31,9692	
417	-32,1841	
418	-32,3697	
419	-32,602	
420	-32,8954	
421	-33,2479	
422	-33,5467	
423	-33,9018	
424	-34,2963	
425	-34,6521	
426	-35,092	
427	-35,6232	
428	-36,3871	
429	-37,0406	
430	-38,049	
431	-39,1089	
432	-40,5485	
433	-42,0266	
434	-44,9881	
435	-49,1055	
436	-52,7647	
437	-45,2276	
438	-41,0194	
439	-36,4354	
440	-33,4279	
441	-29,4651	
442	-25,7532	
443	-21,9882	
444	-17,5008	
445	-12,0984	
446	-8,99309	
447	-15,2716	
448	-19,3292	
449	-21,1683	
450	-22,7906	
451	-24,5069	
452	-25,6987	
453	-26,6702	
454	-27,4244	
455	-28,2418	
456	-29,5801	
457	-30,2748	
458	-30,6763	
459	-31,7508	
460	-32,8634	
461	-33,8852	
462	-34,6606	
463	-35,9207	
464	-37,6075	
465	-39,1881	
466	-42,1471	
467	-46,6863	
468	-53,5633	
469	-52,9896	
470	-46,2019	
471	-42,711	
472	-41,1643	
473	-39,9891	
474	-38,4844	
475	-37,3625	
476	-36,1068	
477	-34,8588	
478	-33,6817	
479	-32,5213	
480	-31,4238	
481	-30,3374	
482	-29,314	
483	-28,2945	
484	-27,3369	
485	-26,4344	
486	-25,6488	
487	-24,8667	
488	-24,0154	
489	-23,1419	
490	-22,2852	
491	-21,4248	
492	-20,6084	
493	-19,9019	
494	-19,0138	
495	-17,946	
496	-16,9822	
497	-16,0256	
498	-15,0335	
499	-14,0028	
500	-12,9122	
501	-11,7452	
502	-10,4772	
503	-9,07075	
504	-7,51478	
505	-5,76393	
506	-3,77991	
507	-1,53541	
508	0,961102	
509	3,53145	
510	5,71533	
511	6,58279	
512	4,49283	
513	0,57927	
514	-1,82413	
515	-3,43295	
516	-4,72406	
517	-5,83372	
518	-6,79949	
519	-7,63323	
520	-8,36103	
521	-9,01239	
522	-9,60753	
523	-10,1442	
524	-10,619	
525	-11,0576	
526	-11,4739	
527	-11,8776	
528	-12,2591	
529	-12,6014	
530	-12,9154	
531	-13,2039	
532	-13,4938	
533	-13,8802	
534	-14,2195	
535	-14,3296	
536	-14,4129	
537	-14,5721	
538	-14,7595	
539	-14,9522	
540	-15,1417	
541	-15,3142	
542	-15,4842	
543	-15,6477	
544	-15,8067	
545	-15,9597	
546	-16,1345	
547	-16,3035	
548	-16,4095	
549	-16,5014	
550	-16,5526	
551	-16,6499	
552	-16,7996	
553	-16,8835	
554	-16,9824	
555	-17,0856	
556	-17,1826	
557	-17,2641	
558	-17,3374	
559	-17,4228	
560	-17,5354	
561	-17,6147	
562	-17,6898	
563	-17,7702	
564	-17,8595	
565	-17,9411	
566	-18,0267	
567	-18,0943	
568	-18,1602	
569	-18,2441	
570	-18,3181	
571	-18,38	
572	-18,4383	
573	-18,4923	
574	-18,5626	
575	-18,6659	
576	-18,7767	
577	-18,8525	
578	-18,8771	
579	-18,9089	
580	-18,9571	
581	-19,0069	
582	-19,0589	
583	-19,1182	
584	-19,1814	
585	-19,2374	
586	-19,294	
587	-19,356	
588	-19,4007	
589	-19,4434	
590	-19,4904	
591	-19,5169	
592	-19,5492	
593	-19,5826	
594	-19,6151	
595	-19,6542	
596	-19,6965	
597	-19,7119	
598	-19,755	
599	-19,8379	
600	-19,8519	
601	-19,8711	
602	-19,9193	
603	-19,9633	
604	-20,0056	
605	-20,0288	
606	-20,0865	
607	-20,1417	
608	-20,1829	
609	-20,2267	
610	-20,2754	
611	-20,3091	
612	-20,3346	
613	-20,3517	
614	-20,3992	
615	-20,4339	
616	-20,459	
617	-20,4866	
618	-20,519	
619	-20,5509	
620	-20,5917	
621	-20,6353	
622	-20,6762	
623	-20,7097	
624	-20,7406	
625	-20,7706	
626	-20,8076	
627	-20,847	
628	-20,8826	
629	-20,9128	
630	-20,9463	
631	-20,978	
632	-21,0248	
633	-21,0509	
634	-21,0937	
635	-21,1305	
636	-21,1475	
637	-21,1791	
638	-21,2116	
639	-21,2301	
640	-21,2769	
641	-21,3209	
642	-21,3653	
643	-21,4148	
644	-21,4564	
645	-21,5068	
646	-21,5428	
647	-21,5855	
648	-21,6324	
649	-21,6796	
650	-21,7166	
651	-21,7555	
652	-21,8018	
653	-21,8568	
654	-21,9262	
655	-21,9533	
656	-21,9856	
657	-22,0288	
658	-22,0675	
659	-22,0968	
660	-22,1489	
661	-22,1913	
662	-22,2342	
663	-22,2875	
664	-22,33	
665	-22,3861	
666	-22,4586	
667	-22,5455	
668	-22,5932	
669	-22,7837	
670	-22,6169	
671	-22,8651	
672	-22,6313	
673	-22,7694	
674	-22,807	
675	-22,8961	
676	-22,9993	
677	-23,0919	
678	-23,1709	
679	-23,2449	
680	-23,3185	
681	-23,3964	
682	-23,4576	
683	-23,5365	
684	-23,6163	
685	-23,6876	
686	-23,7644	
687	-23,8483	
688	-23,91	
689	-24,0126	
690	-24,1359	
691	-24,1482	
692	-24,1704	
693	-24,2924	
694	-24,4387	
695	-24,606	
696	-24,7799	
697	-24,9725	
698	-25,1469	
699	-25,2925	
700	-25,4277	
701	-25,5785	
702	-25,7558	
703	-25,9209	
704	-26,0914	
705	-26,2635	
706	-26,4758	
707	-26,6784	
708	-26,7527	
709	-26,8976	
710	-27,2058	
711	-27,5074	
712	-27,7352	
713	-27,942	
714	-28,0939	
715	-28,2969	
716	-28,3814	
717	-28,3989	
718	-28,6111	
719	-29,2819	
720	-29,9393	
721	-30,5986	
722	-31,2331	
723	-31,9039	
724	-32,6722	
725	-33,3828	
726	-34,2709	
727	-35,3662	
728	-36,7357	
729	-38,5461	
730	-40,4149	
731	-41,0822	
732	-40,437	
733	-39,9427	
734	-36,6744	
735	-34,4544	
736	-35,4533	
737	-34,488	
738	-33,4823	
739	-32,6956	
740	-31,2388	
741	-29,7714	
742	-28,3923	
743	-27,2354	
744	-26,1584	
745	-25,2038	
746	-24,2849	
747	-23,382	
748	-22,5468	
749	-21,864	
750	-21,2085	
751	-20,3906	
752	-19,5096	
753	-18,681	
754	-18,1732	
755	-18,2572	
756	-16,5855	
757	-14,2017	
758	-12,8613	
759	-11,9272	
760	-10,9717	
761	-9,98754	
762	-8,894	
763	-7,69719	
764	-6,4244	
765	-5,07248	
766	-3,5852	
767	-1,89821	
768	0,0513086	
769	2,29626	
770	4,83888	
771	7,58144	
772	10,1376	
773	11,518	
774	9,50281	
775	5,28799	
776	2,81735	
777	1,11218	
778	-0,24199	
779	-1,35627	
780	-2,28587	
781	-3,10046	
782	-3,83564	
783	-4,48642	
784	-5,07814	
785	-5,61322	
786	-6,1012	
787	-6,55663	
788	-6,97217	
789	-7,3682	
790	-7,75712	
791	-8,10385	
792	-8,39716	
793	-8,67695	
794	-8,93659	
795	-9,214	
796	-9,51568	
797	-9,86234	
798	-10,1145	
799	-10,139	
800	-10,1353	
801	-10,2984	
802	-10,498	
803	-10,6471	
804	-10,7874	
805	-10,949	
806	-11,1171	
807	-11,3291	
808	-11,5506	
809	-11,6634	
810	-11,7036	
811	-11,7552	
812	-11,8391	
813	-11,9258	
814	-12,0232	
815	-12,1233	
816	-12,2141	
817	-12,3043	
818	-12,376	
819	-12,4321	
820	-12,5858	
821	-12,7158	
822	-12,5716	
823	-12,672	
824	-12,7527	
825	-12,8098	
826	-12,875	
827	-12,9406	
828	-13,0097	
829	-13,0628	
830	-13,1206	
831	-13,183	
832	-13,2442	
833	-13,2936	
834	-13,3331	
835	-13,3597	
836	-13,4014	
837	-13,4704	
838	-13,5431	
839	-13,5935	
840	-13,6069	
841	-13,6143	
842	-13,6477	
843	-13,6822	
844	-13,712	
845	-13,747	
846	-13,7875	
847	-13,8158	
848	-13,8486	
849	-13,8823	
850	-13,9055	
851	-13,9256	
852	-13,9557	
853	-13,984	
854	-14,0125	
855	-14,0351	
856	-14,0651	
857	-14,0926	
858	-14,1136	
859	-14,1372	
860	-14,156	
861	-14,1671	
862	-14,1781	
863	-14,2095	
864	-14,2355	
865	-14,2576	
866	-14,2728	
867	-14,2883	
868	-14,3008	
869	-14,3188	
870	-14,3397	
871	-14,3546	
872	-14,366	
873	-14,3812	
874	-14,3963	
875	-14,4256	
876	-14,443	
877	-14,4399	
878	-14,4479	
879	-14,4577	
880	-14,4662	
881	-14,483	
882	-14,5061	
883	-14,5195	
884	-14,534	
885	-14,5352	
886	-14,5351	
887	-14,5497	
888	-14,5576	
889	-14,5677	
890	-14,5831	
891	-14,5912	
892	-14,6001	
893	-14,6409	
894	-14,5637	
895	-14,6	
896	-14,5811	
897	-14,6026	
898	-14,6208	
899	-14,6264	
900	-14,6305	
901	-14,6225	
902	-14,6191	
903	-14,619	
904	-14,6213	
905	-14,626	
906	-14,6316	
907	-14,6431	
908	-14,6476	
909	-14,6483	
910	-14,6535	
911	-14,6569	
912	-14,6527	
913	-14,6578	
914	-14,6617	
915	-14,682	
916	-14,6999	
917	-14,6938	
918	-14,6869	
919	-14,6823	
920	-14,6731	
921	-14,6649	
922	-14,6678	
923	-14,668	
924	-14,6706	
925	-14,6745	
926	-14,6865	
927	-14,6956	
928	-14,7002	
929	-14,6996	
930	-14,6975	
931	-14,6935	
932	-14,6954	
933	-14,6943	
934	-14,6807	
935	-14,6723	
936	-14,6771	
937	-14,6828	
938	-14,6944	
939	-14,6991	
940	-14,684	
941	-14,6756	
942	-14,6974	
943	-14,7062	
944	-14,6941	
945	-14,6904	
946	-14,6825	
947	-14,6755	
948	-14,6711	
949	-14,6663	
950	-14,6582	
951	-14,6627	
952	-14,6748	
953	-14,6837	
954	-14,6925	
955	-14,6967	
956	-14,6737	
957	-14,6582	
958	-14,649	
959	-14,5908	
960	-14,582	
961	-14,5735	
962	-14,5699	
963	-14,5691	
964	-14,5596	
965	-14,5544	
966	-14,5407	
967	-14,5293	
968	-14,5173	
969	-14,5077	
970	-14,5071	
971	-14,5048	
972	-14,4998	
973	-14,4889	
974	-14,4813	
975	-14,4683	
976	-14,464	
977	-14,4583	
978	-14,4245	
979	-14,3888	
980	-14,3882	
981	-14,4165	
982	-14,4277	
983	-14,4254	
984	-14,4247	
985	-14,4192	
986	-14,4097	
987	-14,4042	
988	-14,394	
989	-14,384	
990	-14,3738	
991	-14,3649	
992	-14,3627	
993	-14,3571	
994	-14,3518	
995	-14,3489	
996	-14,3496	
997	-14,3129	
998	-14,2932	
999	-14,282	
1000	-14,2728	
1001	-14,2562	
1002	-14,2403	
1003	-14,2288	
1004	-14,2234	
1005	-14,2184	
1006	-14,2106	
1007	-14,1941	
1008	-14,1793	
1009	-14,1757	
1010	-14,1685	
1011	-14,1571	
1012	-14,1507	
1013	-14,1407	
1014	-14,1305	
1015	-14,122	
1016	-14,1201	
1017	-14,1184	
1018	-14,1074	
1019	-14,0859	
1020	-14,0565	
1021	-14,0017	
1022	-13,9524	
1023	-13,9269	
1024	-13,9039	
1025	-13,883	
1026	-13,872	
1027	-13,8688	
1028	-13,8571	
1029	-13,8424	
1030	-13,8226	
1031	-13,8077	
1032	-13,794	
1033	-13,7796	
1034	-13,7583	
1035	-13,7389	
1036	-13,7247	
1037	-13,7172	
1038	-13,7001	
1039	-13,6814	
1040	-13,6678	
1041	-13,65	
1042	-13,6074	
1043	-13,6245	
1044	-13,6796	
1045	-13,6269	
1046	-13,607	
1047	-13,5889	
1048	-13,5738	
1049	-13,5632	
1050	-13,5554	
1051	-13,5534	
1052	-13,5486	
1053	-13,548	
1054	-13,5639	
1055	-13,5874	
1056	-13,6143	
1057	-13,629	
1058	-13,6075	
1059	-13,5492	
1060	-13,4742	
1061	-13,4297	
1062	-13,3967	
1063	-13,3442	
1064	-13,3025	
1065	-13,2762	
1066	-13,2433	
1067	-13,2112	
1068	-13,1852	
1069	-13,1638	
1070	-13,1398	
1071	-13,1178	
1072	-13,0915	
1073	-13,0666	
1074	-13,037	
1075	-13,0113	
1076	-12,9853	
1077	-12,958	
1078	-12,9423	
1079	-12,9307	
1080	-12,9125	
1081	-12,8935	
1082	-12,8716	
1083	-12,8409	
1084	-12,8068	
1085	-12,7806	
1086	-12,7654	
1087	-12,7483	
1088	-12,7282	
1089	-12,702	
1090	-12,6782	
1091	-12,6537	
1092	-12,6265	
1093	-12,6042	
1094	-12,5806	
1095	-12,5557	
1096	-12,5253	
1097	-12,4926	
1098	-12,4682	
1099	-12,4448	
1100	-12,4188	
1101	-12,386	
1102	-12,3577	
1103	-12,3311	
1104	-12,303	
1105	-12,2738	
1106	-12,2495	
1107	-12,2223	
1108	-12,1869	
1109	-12,1481	
1110	-12,1276	
1111	-12,099	
1112	-12,0652	
1113	-12,0344	
1114	-12,0004	
1115	-11,9742	
1116	-11,9478	
1117	-11,911	
1118	-11,8841	
1119	-11,8427	
1120	-11,8118	
1121	-11,7814	
1122	-11,7506	
1123	-11,7236	
1124	-11,6929	
1125	-11,6526	
1126	-11,6154	
1127	-11,5759	
1128	-11,5379	
1129	-11,5015	
1130	-11,4652	
1131	-11,4271	
1132	-11,3869	
1133	-11,3434	
1134	-11,3013	
1135	-11,2605	
1136	-11,2117	
1137	-11,1657	
1138	-11,1261	
1139	-11,0899	
1140	-11,0499	
1141	-11,0075	
1142	-10,9663	
1143	-10,921	
1144	-10,8714	
1145	-10,8179	
1146	-10,7737	
1147	-10,7295	
1148	-10,6821	
1149	-10,6316	
1150	-10,5799	
1151	-10,5264	
1152	-10,467	
1153	-10,4093	
1154	-10,3459	
1155	-10,292	
1156	-10,2508	
1157	-10,1955	
1158	-10,1326	
1159	-10,0721	
1160	-10,0108	
1161	-9,95094	
1162	-9,89006	
1163	-9,8163	
1164	-9,7309	
1165	-9,6547	
1166	-9,58586	
1167	-9,51305	
1168	-9,43346	
1169	-9,35456	
1170	-9,27238	
1171	-9,18865	
1172	-9,10007	
1173	-9,01701	
1174	-8,92523	
1175	-8,82785	
1176	-8,73045	
1177	-8,62611	
1178	-8,52631	
1179	-8,41745	
1180	-8,30696	
1181	-8,18907	
1182	-8,06151	
1183	-7,95308	
1184	-7,8311	
1185	-7,712	
1186	-7,58617	
1187	-7,42886	
1188	-7,23998	
1189	-7,03786	
1190	-6,83538	
1191	-6,62403	
1192	-6,40014	
1193	-6,16387	
1194	-5,91338	
1195	-5,63963	
1196	-5,33982	
1197	-5,01039	
1198	-4,64411	
1199	-4,22743	
1200	-3,74428	
1201	-3,18118	
1202	-2,49659	
1203	-1,61941	
1204	-0,47475	
1205	0,858889	
1206	1,91898	
1207	-0,000785557	
1208	-7,95935	
1209	-10,6505	
1210	-7,92018	
1211	-6,0197	
1212	-4,47282	
1213	-3,08318	
1214	-1,72053	
1215	-0,252642	
1216	1,39621	
1217	3,38049	
1218	5,94022	
1219	9,28363	
1220	13,771	
1221	15,6057	
1222	8,58861	
1223	3,83801	
1224	0,698578	
1225	-1,7807	
1226	-3,94417	
1227	-5,85237	
1228	-7,57478	
1229	-9,22489	
1230	-10,8426	
1231	-12,4701	
1232	-14,1089	
1233	-15,8268	
1234	-17,6572	
1235	-19,583	
1236	-21,7467	
1237	-24,3102	
1238	-27,4146	
1239	-31,5921	
1240	-38,2286	
1241	-43,653	
1242	-36,2156	
1243	-31,9363	
1244	-29,1164	
1245	-27,108	
1246	-25,6355	
1247	-24,3208	
1248	-23,1622	
1249	-22,2799	
1250	-21,5251	
1251	-20,8686	
1252	-20,2551	
1253	-19,6881	
1254	-19,2044	
1255	-18,7651	
1256	-18,3715	
1257	-18,0042	
1258	-17,6689	
1259	-17,3505	
1260	-17,0495	
1261	-16,7698	
1262	-16,5081	
1263	-16,2523	
1264	-16	
1265	-15,8073	
1266	-15,6475	
1267	-15,5418	
1268	-15,3485	
1269	-15,1398	
1270	-14,9735	
1271	-14,8388	
1272	-14,6778	
1273	-14,5285	
1274	-14,3809	
1275	-14,2383	
1276	-14,1047	
1277	-13,9702	
1278	-13,8423	
1279	-13,7131	
1280	-13,5783	
1281	-13,4456	
1282	-13,3318	
1283	-13,2515	
1284	-13,1874	
1285	-13,1064	
1286	-13,0055	
1287	-12,912	
1288	-12,8282	
1289	-12,7342	
1290	-12,6394	
1291	-12,5445	
1292	-12,4543	
1293	-12,3727	
1294	-12,291	
1295	-12,2053	
1296	-12,1156	
1297	-12,0279	
1298	-11,9459	
1299	-11,8621	
1300	-11,7826	
1301	-11,7075	
1302	-11,6346	
1303	-11,5579	
1304	-11,4844	
1305	-11,4219	
1306	-11,3467	
1307	-11,2613	
1308	-11,1901	
1309	-11,1209	
1310	-11,045	
1311	-10,9699	
1312	-10,8959	
1313	-10,8255	
1314	-10,753	
1315	-10,6705	
1316	-10,5992	
1317	-10,5194	
1318	-10,446	
1319	-10,3845	
1320	-10,3309	
1321	-10,2747	
1322	-10,2182	
1323	-10,1523	
1324	-10,0833	
1325	-10,0187	
1326	-9,95494	
1327	-9,88839	
1328	-9,82037	
1329	-9,75408	
1330	-9,69228	
1331	-9,62407	
1332	-9,54354	
1333	-9,48363	
1334	-9,41615	
1335	-9,34574	
1336	-9,27589	
1337	-9,20721	
1338	-9,14539	
1339	-9,08225	
1340	-9,01276	
1341	-8,94499	
1342	-8,87343	
1343	-8,80966	
1344	-8,74052	
1345	-8,67344	
1346	-8,60206	
1347	-8,53889	
1348	-8,47634	
1349	-8,40461	
1350	-8,32999	
1351	-8,26344	
1352	-8,19204	
1353	-8,12507	
1354	-8,05741	
1355	-7,98004	
1356	-7,90618	
1357	-7,83536	
1358	-7,76597	
1359	-7,69728	
1360	-7,62457	
1361	-7,5542	
1362	-7,48594	
1363	-7,41365	
1364	-7,33857	
1365	-7,26704	
1366	-7,19824	
1367	-7,12923	
1368	-7,05687	
1369	-6,98001	
1370	-6,90283	
1371	-6,82871	
1372	-6,74596	
1373	-6,67054	
1374	-6,59418	
1375	-6,51661	
1376	-6,44062	
1377	-6,36225	
1378	-6,28152	
1379	-6,20091	
1380	-6,12406	
1381	-6,04083	
1382	-5,95887	
1383	-5,87676	
1384	-5,79504	
1385	-5,71273	
1386	-5,62975	
1387	-5,54559	
1388	-5,46147	
1389	-5,37573	
1390	-5,2853	
1391	-5,19999	
1392	-5,11721	
1393	-5,03348	
1394	-4,94343	
1395	-4,8528	
1396	-4,76715	
1397	-4,68512	
1398	-4,58785	
1399	-4,48892	
1400	-4,39708	
1401	-4,3013	
1402	-4,20073	
1403	-4,09946	
1404	-3,99924	
1405	-3,89421	
1406	-3,79909	
1407	-3,70063	
1408	-3,59171	
1409	-3,48015	
1410	-3,36983	
1411	-3,25865	
1412	-3,14898	
1413	-3,03744	
1414	-2,92273	
1415	-2,80835	
1416	-2,6939	
1417	-2,57832	
1418	-2,46441	
1419	-2,35119	
1420	-2,23025	
1421	-2,10521	
1422	-1,97694	
1423	-1,84008	
1424	-1,7021	
1425	-1,59617	
1426	-1,50911	
1427	-1,37979	
1428	-1,22059	
1429	-1,07346	
1430	-0,936581	
1431	-0,794808	
1432	-0,648814	
1433	-0,498714	
1434	-0,345101	
1435	-0,192002	
1436	-0,0386303	
1437	0,113376	
1438	0,269313	
1439	0,431179	
1440	0,59323	
1441	0,761649	
1442	0,94634	
1443	1,15033	
1444	1,33451	
1445	1,52412	
1446	1,69706	
1447	1,88342	
1448	2,06907	
1449	2,25488	
1450	2,45313	
1451	2,66872	
1452	2,89511	
1453	3,13297	
1454	3,37275	
1455	3,61105	
1456	3,85968	
1457	4,11437	
1458	4,37614	
1459	4,64555	
1460	4,92298	
1461	5,21352	
1462	5,51435	
1463	5,82314	
1464	6,14581	
1465	6,48795	
1466	6,84785	
1467	7,21557	
1468	7,5903	
1469	7,98241	
1470	8,40499	
1471	8,84986	
1472	9,30829	
1473	9,77934	
1474	10,2727	
1475	10,8116	
1476	11,3953	
1477	12,0106	
1478	12,6779	
1479	13,4149	
1480	14,2207	
1481	15,1079	
1482	16,0893	
1483	17,1898	
1484	18,4484	
1485	19,8974	
1486	21,593	
1487	23,5963	
1488	25,9572	
1489	28,543	
1490	30,8103	
1491	30,7624	
1492	27,3318	
1493	24,0945	
1494	21,8017	
1495	20,0252	
1496	18,5499	
1497	17,2752	
1498	16,1521	
1499	15,1545	
1500	14,2596	
1501	13,4422	
1502	12,692	
1503	12,0066	
1504	11,3709	
1505	10,7655	
1506	10,1996	
1507	9,68072	
1508	9,20067	
