Frekvenca [Hz] - Frekv. prenosna funkcija	Amplituda frekv. prenosne funkcije [m/s^2/N] - Frekv. prenosna funkcija	
0	3,29883	
1	-5,39893	
2	-7,19175	
3	-7,99343	
4	-12,2945	
5	-14,2963	
6	-15,5453	
7	-16,4494	
8	-17,0788	
9	-17,5244	
10	-17,945	
11	-18,3022	
12	-18,4916	
13	-17,7165	
14	-17,6967	
15	-18,0314	
16	-18,2671	
17	-18,4644	
18	-18,601	
19	-18,6967	
20	-18,7519	
21	-18,8223	
22	-18,8821	
23	-18,942	
24	-18,9938	
25	-19,0394	
26	-19,0762	
27	-19,0769	
28	-19,1279	
29	-19,1431	
30	-19,162	
31	-19,1902	
32	-19,1927	
33	-19,2361	
34	-19,2638	
35	-19,2806	
36	-19,309	
37	-19,3246	
38	-19,3098	
39	-19,3001	
40	-19,2927	
41	-19,3005	
42	-19,3169	
43	-19,3274	
44	-19,3379	
45	-19,3479	
46	-19,3316	
47	-19,3463	
48	-19,3528	
49	-19,3644	
50	-19,3659	
51	-19,3896	
52	-19,3784	
53	-19,393	
54	-19,4346	
55	-19,4514	
56	-19,4657	
57	-19,4769	
58	-19,4651	
59	-19,4602	
60	-19,4632	
61	-19,4885	
62	-19,4908	
63	-19,5047	
64	-19,499	
65	-19,4796	
66	-19,4851	
67	-19,4861	
68	-19,4909	
69	-19,495	
70	-19,5072	
71	-19,51	
72	-19,5109	
73	-19,5113	
74	-19,5045	
75	-19,5216	
76	-19,5206	
77	-19,5161	
78	-19,5044	
79	-19,4982	
80	-19,5211	
81	-19,5276	
82	-19,5145	
83	-19,5216	
84	-19,5277	
85	-19,5118	
86	-19,5286	
87	-19,5453	
88	-19,5359	
89	-19,5258	
90	-19,5283	
91	-19,5271	
92	-19,5268	
93	-19,5312	
94	-19,5437	
95	-19,542	
96	-19,5351	
97	-19,5354	
98	-19,5269	
99	-19,5274	
100	-19,525	
101	-19,5325	
102	-19,5383	
103	-19,5482	
104	-19,5475	
105	-19,5427	
106	-19,5401	
107	-19,541	
108	-19,5373	
109	-19,5213	
110	-19,5315	
111	-19,5411	
112	-19,5217	
113	-19,5258	
114	-19,5305	
115	-19,5395	
116	-19,5326	
117	-19,5461	
118	-19,5259	
119	-19,5221	
120	-19,529	
121	-19,5304	
122	-19,5311	
123	-19,5244	
124	-19,5241	
125	-19,5361	
126	-19,5409	
127	-19,5385	
128	-19,55	
129	-19,5508	
130	-19,5549	
131	-19,5583	
132	-19,561	
133	-19,5575	
134	-19,5686	
135	-19,5669	
136	-19,5592	
137	-19,5641	
138	-19,5718	
139	-19,5744	
140	-19,5763	
141	-19,5928	
142	-19,6006	
143	-19,6071	
144	-19,6157	
145	-19,6185	
146	-19,6203	
147	-19,6312	
148	-19,6474	
149	-19,6599	
150	-19,6634	
151	-19,663	
152	-19,685	
153	-19,6937	
154	-19,7028	
155	-19,7153	
156	-19,7351	
157	-19,7505	
158	-19,7656	
159	-19,7808	
160	-19,7997	
161	-19,8147	
162	-19,8469	
163	-19,8552	
164	-19,8756	
165	-19,9131	
166	-19,9373	
167	-19,9654	
168	-19,9823	
169	-20,0152	
170	-20,0446	
171	-20,0669	
172	-20,1047	
173	-20,1418	
174	-20,1872	
175	-20,2222	
176	-20,262	
177	-20,3018	
178	-20,3588	
179	-20,4066	
180	-20,4553	
181	-20,5076	
182	-20,5797	
183	-20,6673	
184	-20,7444	
185	-20,8018	
186	-20,8783	
187	-20,9813	
188	-21,0612	
189	-21,1739	
190	-21,2747	
191	-21,3979	
192	-21,5301	
193	-21,6852	
194	-21,8404	
195	-22,0273	
