Frekvenca [Hz] - Frekv. prenosna funkcija	Amplituda frekv. prenosne funkcije [m/s^2/N] - Frekv. prenosna funkcija	
0	-22,3619	
1	-25,5189	
2	-25,4429	
3	-25,1085	
4	-24,084	
5	-23,9355	
6	-23,9605	
7	-23,9348	
8	-23,9322	
9	-23,9086	
10	-23,9995	
11	-24,0207	
12	-23,9927	
13	-23,9752	
14	-23,9955	
15	-24,0031	
16	-24,0425	
17	-24,0153	
18	-24,0045	
19	-23,9896	
20	-23,9714	
21	-23,958	
22	-24,0129	
23	-24,0047	
24	-23,9839	
25	-24,0486	
26	-24,0452	
27	-24,0131	
28	-24,0055	
29	-24,0272	
30	-24,0414	
31	-24,0037	
32	-23,9849	
33	-24,024	
34	-23,9998	
35	-24,0707	
36	-24,2728	
37	-24,3851	
38	-24,3984	
39	-24,4092	
40	-24,4032	
41	-24,3461	
42	-23,9964	
43	-23,8954	
44	-23,9492	
45	-24,0086	
46	-24,0774	
47	-24,0879	
48	-24,099	
49	-24,121	
50	-24,1242	
51	-24,1198	
52	-24,1459	
53	-24,1845	
54	-24,1687	
55	-24,1871	
56	-24,1999	
57	-24,2134	
58	-24,1947	
59	-24,2141	
60	-24,2159	
61	-24,2137	
62	-24,2564	
63	-24,2607	
64	-24,2396	
65	-24,2657	
66	-24,2603	
67	-24,2804	
68	-24,3107	
69	-24,3095	
70	-24,296	
71	-24,3102	
72	-24,3232	
73	-24,3311	
74	-24,3245	
75	-24,3216	
76	-24,3061	
77	-24,3173	
78	-24,3295	
79	-24,3217	
80	-24,3317	
81	-24,3277	
82	-24,3347	
83	-24,3305	
84	-24,3397	
85	-24,3388	
86	-24,3376	
87	-24,3508	
88	-24,3468	
89	-24,3556	
90	-24,3532	
91	-24,3823	
92	-24,3798	
93	-24,3834	
94	-24,4002	
95	-24,3868	
96	-24,3931	
97	-24,412	
98	-24,416	
99	-24,4253	
100	-24,4068	
101	-24,4111	
102	-24,4214	
103	-24,4285	
104	-24,4367	
105	-24,4475	
106	-24,4601	
107	-24,4606	
108	-24,4514	
109	-24,4424	
110	-24,4541	
111	-24,4485	
112	-24,4582	
113	-24,469	
114	-24,4752	
115	-24,4695	
116	-24,4997	
117	-24,4775	
118	-24,4777	
119	-24,488	
120	-24,4845	
121	-24,5023	
122	-24,5052	
123	-24,5084	
124	-24,5055	
125	-24,5185	
126	-24,5037	
127	-24,5065	
128	-24,4974	
129	-24,5187	
130	-24,5341	
131	-24,5394	
132	-24,5245	
133	-24,5313	
134	-24,5478	
135	-24,5438	
136	-24,5404	
137	-24,5208	
138	-24,5456	
139	-24,5463	
140	-24,5724	
141	-24,5762	
142	-24,5656	
143	-24,5815	
144	-24,5912	
145	-24,5821	
146	-24,5977	
147	-24,6209	
148	-24,6178	
149	-24,6341	
150	-24,6073	
151	-24,605	
152	-24,6361	
153	-24,6432	
154	-24,6612	
155	-24,6496	
156	-24,6498	
157	-24,6658	
158	-24,6758	
159	-24,6592	
160	-24,6742	
161	-24,6591	
162	-24,69	
163	-24,7184	
164	-24,7173	
165	-24,7312	
166	-24,7464	
167	-24,7485	
168	-24,7582	
169	-24,7818	
170	-24,7788	
171	-24,7784	
172	-24,7927	
173	-24,7954	
174	-24,8212	
175	-24,8211	
176	-24,8332	
177	-24,8521	
178	-24,8659	
179	-24,8752	
180	-24,876	
181	-24,8877	
182	-24,9104	
183	-24,9478	
184	-24,9374	
185	-24,9577	
186	-24,9719	
187	-24,998	
188	-25,0086	
189	-25,0026	
190	-25,0341	
191	-25,0376	
192	-25,0629	
193	-25,0861	
194	-25,0938	
195	-25,1044	
196	-25,123	
197	-25,1484	
198	-25,1833	
199	-25,2072	
200	-25,2167	
201	-25,2376	
202	-25,2689	
203	-25,2809	
204	-25,2988	
205	-25,3318	
206	-25,3716	
207	-25,3913	
208	-25,397	
209	-25,4393	
210	-25,4775	
211	-25,5213	
212	-25,54	
213	-25,587	
214	-25,5859	
215	-25,6057	
216	-25,6041	
217	-25,6025	
218	-25,6334	
219	-25,6838	
220	-25,7441	
221	-25,7886	
222	-25,8048	
223	-25,8349	
224	-25,8962	
225	-25,915	
226	-25,9848	
227	-25,9914	
