Frekvenca [Hz] - Frekv. prenosna funkcija	Amplituda frekv. prenosne funkcije [m/s^2/N] - Frekv. prenosna funkcija	
353	-22,1044	
354	-21,9427	
355	-21,7978	
356	-21,6679	
357	-21,5362	
358	-21,4186	
359	-21,3034	
360	-21,1876	
361	-21,079	
362	-20,9756	
363	-20,8865	
364	-20,7956	
365	-20,715	
366	-20,6232	
367	-20,5447	
368	-20,4769	
369	-20,3946	
370	-20,3191	
371	-20,2493	
372	-20,1826	
373	-20,1298	
374	-20,0736	
375	-20,0067	
376	-19,9453	
377	-19,8913	
378	-19,8321	
379	-19,7943	
380	-19,7319	
381	-19,6783	
382	-19,6239	
383	-19,5711	
384	-19,5272	
385	-19,4796	
386	-19,424	
387	-19,3797	
388	-19,3389	
389	-19,295	
390	-19,2562	
391	-19,2128	
392	-19,1604	
393	-19,1276	
394	-19,0833	
395	-19,0394	
396	-18,9918	
397	-18,9599	
398	-18,9241	
399	-18,8811	
400	-18,8473	
401	-18,8075	
402	-18,7696	
403	-18,7324	
404	-18,6944	
405	-18,6614	
406	-18,6249	
407	-18,5753	
408	-18,5538	
409	-18,5122	
410	-18,4713	
411	-18,4387	
412	-18,4057	
413	-18,3698	
414	-18,3412	
415	-18,3172	
416	-18,2785	
417	-18,2433	
418	-18,2166	
419	-18,1776	
420	-18,1502	
421	-18,1277	
422	-18,0954	
423	-18,0638	
424	-18,0344	
425	-17,9975	
426	-17,969	
427	-17,94	
428	-17,9098	
429	-17,8816	
430	-17,8485	
431	-17,8189	
432	-17,7894	
433	-17,755	
434	-17,73	
435	-17,7022	
436	-17,6668	
437	-17,6351	
438	-17,6014	
439	-17,5784	
440	-17,547	
441	-17,5155	
442	-17,487	
443	-17,4567	
444	-17,4238	
445	-17,3958	
446	-17,3691	
447	-17,3458	
448	-17,3254	
449	-17,2941	
450	-17,2696	
451	-17,2392	
452	-17,2162	
453	-17,1911	
454	-17,1616	
455	-17,1361	
456	-17,1114	
457	-17,0884	
458	-17,0601	
459	-17,0372	
460	-17,01	
461	-16,9799	
462	-16,9524	
463	-16,9372	
464	-16,9158	
465	-16,8902	
466	-16,8704	
467	-16,8468	
468	-16,8265	
469	-16,7968	
470	-16,7745	
471	-16,7494	
472	-16,7325	
473	-16,7034	
474	-16,6841	
475	-16,6613	
476	-16,6457	
477	-16,617	
478	-16,598	
479	-16,5775	
480	-16,557	
481	-16,5313	
482	-16,5185	
483	-16,4964	
484	-16,4738	
485	-16,4506	
486	-16,4366	
487	-16,4152	
488	-16,3995	
489	-16,3778	
490	-16,3545	
491	-16,33	
492	-16,2948	
493	-16,2412	
494	-16,2049	
495	-16,2259	
496	-16,2323	
497	-16,224	
498	-16,2086	
499	-16,1943	
500	-16,1754	
501	-16,1593	
502	-16,1501	
503	-16,1383	
504	-16,1208	
505	-16,1036	
506	-16,0885	
507	-16,0694	
508	-16,0618	
509	-16,0433	
510	-16,0292	
511	-16,0122	
512	-16,0027	
513	-15,9892	
514	-15,9752	
515	-15,9587	
516	-15,9439	
517	-15,9297	
518	-15,9185	
519	-15,9026	
520	-15,8939	
521	-15,8822	
522	-15,8645	
523	-15,8501	
524	-15,835	
525	-15,8281	
526	-15,8192	
527	-15,8072	
528	-15,7893	
529	-15,7799	
530	-15,7701	
531	-15,7527	
532	-15,7461	
533	-15,7348	
534	-15,722	
535	-15,7078	
536	-15,6986	
537	-15,686	
538	-15,6741	
539	-15,6584	
540	-15,6522	
541	-15,6439	
542	-15,6305	
543	-15,6303	
544	-15,6252	
545	-15,6875	
546	-15,6226	
547	-15,5803	
548	-15,5613	
549	-15,5589	
550	-15,5429	
551	-15,5229	
552	-15,5147	
553	-15,502	
554	-15,4877	
555	-15,4784	
556	-15,4652	
557	-15,4501	
558	-15,4377	
559	-15,4291	
560	-15,4123	
561	-15,402	
562	-15,3877	
563	-15,3761	
564	-15,3617	
565	-15,3459	
566	-15,3342	
567	-15,3212	
568	-15,3052	
569	-15,2947	
570	-15,2771	
571	-15,2653	
572	-15,2491	
573	-15,2342	
574	-15,2198	
575	-15,1993	
576	-15,1861	
577	-15,1694	
578	-15,1502	
579	-15,1311	
580	-15,1151	
581	-15,0964	
582	-15,0762	
583	-15,0577	
584	-15,0414	
585	-15,0188	
586	-15,0023	
587	-14,982	
588	-14,9628	
589	-14,9398	
590	-14,9225	
591	-14,9021	
592	-14,8765	
593	-14,8522	
594	-14,8324	
595	-14,8134	
596	-14,7839	
597	-14,7521	
598	-14,7273	
599	-14,7101	
600	-14,6874	
601	-14,6607	
602	-14,6304	
603	-14,6038	
604	-14,57	
605	-14,5416	
606	-14,5106	
607	-14,4843	
608	-14,454	
609	-14,4278	
610	-14,4001	
611	-14,3685	
612	-14,3378	
613	-14,298	
614	-14,2719	
615	-14,2399	
616	-14,2074	
617	-14,1699	
618	-14,1376	
619	-14,1047	
620	-14,0713	
621	-14,0352	
622	-13,9978	
623	-13,9602	
624	-13,9286	
625	-13,8867	
626	-13,8509	
627	-13,8122	
628	-13,7725	
629	-13,7228	
630	-13,6774	
